game_id,white_engine,black_engine,time_budget,winner_color,winner_engine,is_draw,reason,plies,white_avg_ms,black_avg_ms,duration_sec,white_pieces,black_pieces
1,MCTS_PUCT,CheckerBoard,2.000,Draw,Draw,1,"3-Fold Repetition",191,1708.88,1829.48,334.438,3,3
2,CheckerBoard,MCTS_PUCT,2.000,Draw,Draw,1,"Max Plies Limit (250)",250,1870.55,1724.38,446.001,1,2
3,MCTS_PUCT,CheckerBoard,2.000,Draw,Draw,1,"3-Fold Repetition",99,1689.03,1666.27,163.042,3,4
4,CheckerBoard,MCTS_PUCT,2.000,Black,MCTS_PUCT,0,"Elimination / Block",46,1204.49,1093.07,50.802,0,6
5,MCTS_PUCT,CheckerBoard,2.000,Black,CheckerBoard,0,"Elimination / Block",108,1572.36,1455.57,160.822,0,5
6,CheckerBoard,MCTS_PUCT,2.000,Black,MCTS_PUCT,0,"Elimination / Block",144,1698.35,1721.60,243.131,0,2
7,MCTS_PUCT,CheckerBoard,2.000,Draw,Draw,1,"3-Fold Repetition",125,1631.17,1737.39,207.476,2,3
8,CheckerBoard,MCTS_PUCT,2.000,Draw,Draw,1,"Max Plies Limit (250)",250,1886.69,1675.92,442.054,3,4
9,MCTS_PUCT,CheckerBoard,2.000,Draw,Draw,1,"3-Fold Repetition",217,1814.35,1850.05,394.249,3,3
10,CheckerBoard,MCTS_PUCT,2.000,Black,MCTS_PUCT,0,"Elimination / Block",46,1203.73,1093.65,50.884,0,6
11,MCTS_PUCT,CheckerBoard,2.000,Draw,Draw,1,"3-Fold Repetition",103,1714.88,1679.65,171.768,3,5
12,CheckerBoard,MCTS_PUCT,2.000,Draw,Draw,1,"Max Plies Limit (250)",250,1870.57,1784.49,453.661,3,3
13,MCTS_PUCT,CheckerBoard,2.000,White,MCTS_PUCT,0,"Elimination / Block",57,1379.83,1414.19,76.898,8,1
14,CheckerBoard,MCTS_PUCT,2.000,Draw,Draw,1,"3-Fold Repetition",156,1843.81,1766.35,278.026,4,3
