game_id,white_engine,black_engine,time_budget,winner_color,winner_engine,is_draw,reason,plies,white_avg_ms,black_avg_ms,duration_sec,white_pieces,black_pieces
1,MCTS_PUCT,CheckerBoard,2.000,Draw,Draw,1,"3-Fold Repetition",145,1619.33,1804.71,244.760,3,5
2,CheckerBoard,MCTS_PUCT,2.000,Draw,Draw,1,"Max Plies Limit (250)",250,1838.63,1850.59,457.590,1,2
3,MCTS_PUCT,CheckerBoard,2.000,Draw,Draw,1,"Max Plies Limit (250)",250,1823.69,1871.08,458.274,2,1
4,CheckerBoard,MCTS_PUCT,2.000,Black,MCTS_PUCT,0,"Elimination / Block",54,1388.51,1310.59,70.294,0,5
5,MCTS_PUCT,CheckerBoard,2.000,White,MCTS_PUCT,0,"Elimination / Block",113,1605.86,1700.11,183.598,4,0
6,CheckerBoard,MCTS_PUCT,2.000,Black,MCTS_PUCT,0,"Elimination / Block",54,1388.19,1310.43,70.258,0,5
7,MCTS_PUCT,CheckerBoard,2.000,Draw,Draw,1,"3-Fold Repetition",105,1544.05,1686.35,166.645,1,1
8,CheckerBoard,MCTS_PUCT,2.000,Draw,Draw,1,"Max Plies Limit (250)",250,1839.10,1845.13,457.122,1,1
9,MCTS_PUCT,CheckerBoard,2.000,Black,CheckerBoard,0,"Elimination / Block",68,1597.24,1341.26,97.298,3,6
10,CheckerBoard,MCTS_PUCT,2.000,Black,MCTS_PUCT,0,"Elimination / Block",86,1557.51,1506.73,128.792,1,4
11,MCTS_PUCT,CheckerBoard,2.000,White,MCTS_PUCT,0,"Elimination / Block",73,1392.86,1432.50,100.657,2,1
12,CheckerBoard,MCTS_PUCT,2.000,Black,MCTS_PUCT,0,"Elimination / Block",54,1388.59,1310.45,70.221,0,5
13,MCTS_PUCT,CheckerBoard,2.000,White,MCTS_PUCT,0,"Elimination / Block",69,1382.89,1645.86,101.586,5,1
14,CheckerBoard,MCTS_PUCT,2.000,White,CheckerBoard,0,"Elimination / Block",113,1543.45,1603.25,174.917,3,0
