game_id,white_engine,black_engine,time_budget,winner_color,winner_engine,is_draw,reason,plies,white_avg_ms,black_avg_ms,duration_sec,white_pieces,black_pieces
1,MCTS_PUCT,CheckerBoard,2.000,Black,CheckerBoard,0,"Elimination / Block",72,1355.81,1468.22,98.849,0,6
2,CheckerBoard,MCTS_PUCT,2.000,White,CheckerBoard,0,"Elimination / Block",89,1499.68,856.40,102.824,4,0
3,MCTS_PUCT,CheckerBoard,2.000,Draw,Draw,1,"3-Fold Repetition",85,568.19,1707.02,93.861,2,2
4,CheckerBoard,MCTS_PUCT,2.000,White,CheckerBoard,0,"Elimination / Block",79,1237.98,567.04,69.843,3,0
5,MCTS_PUCT,CheckerBoard,2.000,Black,CheckerBoard,0,"Elimination / Block",74,1637.90,1452.91,111.279,3,5
6,CheckerBoard,MCTS_PUCT,2.000,White,CheckerBoard,0,"Elimination / Block",103,1411.83,520.05,98.021,2,0
7,MCTS_PUCT,CheckerBoard,2.000,Draw,Draw,1,"3-Fold Repetition",143,793.98,1799.58,182.366,2,2
8,CheckerBoard,MCTS_PUCT,2.000,White,CheckerBoard,0,"Elimination / Block",91,1510.89,711.65,99.313,3,0
9,MCTS_PUCT,CheckerBoard,2.000,White,MCTS_PUCT,0,"Elimination / Block",95,755.17,1008.34,81.888,5,0
10,CheckerBoard,MCTS_PUCT,2.000,Black,MCTS_PUCT,0,"Elimination / Block",52,1336.64,1082.41,60.482,1,6
11,MCTS_PUCT,CheckerBoard,2.000,Black,CheckerBoard,0,"Elimination / Block",164,998.99,1635.98,213.453,0,2
12,CheckerBoard,MCTS_PUCT,2.000,White,CheckerBoard,0,"Elimination / Block",79,1238.46,570.36,69.983,3,0
13,MCTS_PUCT,CheckerBoard,2.000,Draw,Draw,1,"3-Fold Repetition",105,570.45,1764.39,119.656,2,2
14,CheckerBoard,MCTS_PUCT,2.000,White,CheckerBoard,0,"Elimination / Block",81,1499.68,708.33,87.625,3,0
15,MCTS_PUCT,CheckerBoard,2.000,Black,CheckerBoard,0,"Elimination / Block",84,863.40,1296.14,88.553,0,2
16,CheckerBoard,MCTS_PUCT,2.000,Black,MCTS_PUCT,0,"Elimination / Block",54,1387.56,1236.43,68.229,0,5
17,MCTS_PUCT,CheckerBoard,2.000,Draw,Draw,1,"3-Fold Repetition",91,788.47,1590.57,105.480,1,1
18,CheckerBoard,MCTS_PUCT,2.000,Draw,Draw,1,"3-Fold Repetition",124,1737.39,394.25,130.055,3,2
19,MCTS_PUCT,CheckerBoard,2.000,Black,CheckerBoard,0,"Elimination / Block",94,562.22,1391.47,89.889,0,2
20,CheckerBoard,MCTS_PUCT,2.000,Draw,Draw,1,"3-Fold Repetition",124,1737.35,394.90,130.080,3,2
21,MCTS_PUCT,CheckerBoard,2.000,White,MCTS_PUCT,0,"Elimination / Block",61,1374.12,1456.64,83.472,7,1
22,CheckerBoard,MCTS_PUCT,2.000,White,CheckerBoard,0,"Elimination / Block",67,1032.92,721.70,57.205,2,0
23,MCTS_PUCT,CheckerBoard,2.000,Black,CheckerBoard,0,"Elimination / Block",106,1348.22,1533.13,149.852,1,4
24,CheckerBoard,MCTS_PUCT,2.000,Black,MCTS_PUCT,0,"Elimination / Block",54,1312.19,1358.09,69.434,0,6
25,MCTS_PUCT,CheckerBoard,2.000,Black,CheckerBoard,0,"Elimination / Block",60,886.04,1176.39,59.820,0,4
26,CheckerBoard,MCTS_PUCT,2.000,White,CheckerBoard,0,"Elimination / Block",75,1298.90,925.92,81.410,2,0
27,MCTS_PUCT,CheckerBoard,2.000,Black,CheckerBoard,0,"Elimination / Block",106,807.54,1493.16,119.648,0,2
28,CheckerBoard,MCTS_PUCT,2.000,White,CheckerBoard,0,"Elimination / Block",95,1434.76,462.98,88.755,2,0
29,MCTS_PUCT,CheckerBoard,2.000,Black,CheckerBoard,0,"Elimination / Block",48,682.36,1043.59,39.712,0,3
30,CheckerBoard,MCTS_PUCT,2.000,White,CheckerBoard,0,"Elimination / Block",63,1354.59,880.53,68.427,3,0
31,MCTS_PUCT,CheckerBoard,2.000,Black,CheckerBoard,0,"Elimination / Block",82,884.32,1499.66,95.386,0,4
32,CheckerBoard,MCTS_PUCT,2.000,Draw,Draw,1,"3-Fold Repetition",110,1777.40,517.20,123.923,3,2
