game_id,white_engine,black_engine,time_budget,winner_color,winner_engine,is_draw,reason,plies,white_avg_ms,black_avg_ms,duration_sec,white_pieces,black_pieces
1,MCTS_UCB1,CheckerBoard,2.000,Draw,Draw,1,"Max Plies Limit (250)",250,1842.03,1870.60,460.860,3,2
2,CheckerBoard,MCTS_UCB1,2.000,Black,MCTS_UCB1,0,"Elimination / Block",48,1391.25,1218.94,60.215,0,6
3,MCTS_UCB1,CheckerBoard,2.000,Draw,Draw,1,"Max Plies Limit (250)",250,1858.04,1870.58,462.822,3,3
4,CheckerBoard,MCTS_UCB1,2.000,Black,MCTS_UCB1,0,"Elimination / Block",64,1433.66,1551.32,92.846,1,4
5,MCTS_UCB1,CheckerBoard,2.000,White,MCTS_UCB1,0,"Elimination / Block",127,1653.53,1743.60,212.817,4,0
6,CheckerBoard,MCTS_UCB1,2.000,Black,MCTS_UCB1,0,"Elimination / Block",80,1664.29,1643.53,129.434,1,4
7,MCTS_UCB1,CheckerBoard,2.000,White,MCTS_UCB1,0,"Elimination / Block",89,1502.81,1633.05,136.832,4,0
8,CheckerBoard,MCTS_UCB1,2.000,Black,MCTS_UCB1,0,"Elimination / Block",64,1433.62,1551.73,92.996,1,4
9,MCTS_UCB1,CheckerBoard,2.000,White,MCTS_UCB1,0,"Elimination / Block",125,1647.92,1790.60,211.867,5,0
10,CheckerBoard,MCTS_UCB1,2.000,Black,MCTS_UCB1,0,"Elimination / Block",64,1433.89,1551.57,93.100,1,4
11,MCTS_UCB1,CheckerBoard,2.000,White,MCTS_UCB1,0,"Elimination / Block",121,1636.36,1718.06,200.024,4,0
12,CheckerBoard,MCTS_UCB1,2.000,Black,MCTS_UCB1,0,"Elimination / Block",64,1432.73,1551.45,92.819,1,4
13,MCTS_UCB1,CheckerBoard,2.000,White,MCTS_UCB1,0,"Elimination / Block",97,1543.94,1637.13,151.259,4,0
14,CheckerBoard,MCTS_UCB1,2.000,Black,MCTS_UCB1,0,"Elimination / Block",56,1629.39,1187.57,76.127,0,5
15,MCTS_UCB1,CheckerBoard,2.000,White,MCTS_UCB1,0,"Elimination / Block",93,1567.46,1578.63,143.368,4,0
16,CheckerBoard,MCTS_UCB1,2.000,Draw,Draw,1,"3-Fold Repetition",108,1735.53,1701.29,182.307,4,3
17,MCTS_UCB1,CheckerBoard,2.000,White,MCTS_UCB1,0,"Elimination / Block",89,1502.68,1587.32,134.768,4,0
18,CheckerBoard,MCTS_UCB1,2.000,Black,MCTS_UCB1,0,"Elimination / Block",138,1796.44,1650.17,234.624,0,4
19,MCTS_UCB1,CheckerBoard,2.000,White,MCTS_UCB1,0,"Elimination / Block",89,1502.02,1587.28,134.553,4,0
20,CheckerBoard,MCTS_UCB1,2.000,White,CheckerBoard,0,"Elimination / Block",227,1771.42,1914.04,414.753,3,0
21,MCTS_UCB1,CheckerBoard,2.000,White,MCTS_UCB1,0,"Elimination / Block",61,1336.33,1314.32,78.386,6,1
22,CheckerBoard,MCTS_UCB1,2.000,Draw,Draw,1,"3-Fold Repetition",160,1822.42,1800.51,286.434,3,2
23,MCTS_UCB1,CheckerBoard,2.000,White,MCTS_UCB1,0,"Elimination / Block",89,1502.72,1587.19,134.491,4,0
