game_id,white_engine,black_engine,time_budget,winner_color,winner_engine,is_draw,reason,plies,white_avg_ms,black_avg_ms,duration_sec,white_pieces,black_pieces
1,MCTS_PUCT,MCTS_UCB1,0.200,White,MCTS_PUCT,0,"Elimination / Block",129,168.14,164.38,21.125,4,0
2,MCTS_UCB1,MCTS_PUCT,0.200,White,MCTS_UCB1,0,"Elimination / Block",115,75.21,80.06,8.778,3,0
3,MCTS_PUCT,MCTS_UCB1,0.200,White,MCTS_PUCT,0,"Elimination / Block",123,133.17,121.82,15.441,3,0
4,MCTS_UCB1,MCTS_PUCT,0.200,Black,MCTS_PUCT,0,"Elimination / Block",90,73.96,74.02,6.519,0,1
5,MCTS_PUCT,MCTS_UCB1,0.200,White,MCTS_PUCT,0,"Elimination / Block",91,90.60,87.53,7.936,3,0
6,MCTS_UCB1,MCTS_PUCT,0.200,Black,MCTS_PUCT,0,"Elimination / Block",92,54.04,54.43,4.898,0,2
7,MCTS_PUCT,MCTS_UCB1,0.200,White,MCTS_PUCT,0,"Elimination / Block",91,90.14,88.10,7.940,3,0
8,MCTS_UCB1,MCTS_PUCT,0.200,Draw,Draw,1,"3-Fold Repetition",80,98.99,94.47,7.551,1,4
9,MCTS_PUCT,MCTS_UCB1,0.200,White,MCTS_PUCT,0,"Elimination / Block",123,86.92,84.74,10.395,1,0
10,MCTS_UCB1,MCTS_PUCT,0.200,Draw,Draw,1,"3-Fold Repetition",116,88.73,85.65,9.947,3,4
