game_id,white_engine,black_engine,time_budget,winner_color,winner_engine,is_draw,reason,plies,white_avg_ms,black_avg_ms,duration_sec,white_pieces,black_pieces
1,MCTS_PUCT,MCTS_UCB1,0.200,Black,MCTS_UCB1,0,"Elimination / Block",118,67.22,59.86,7.402,0,1
2,MCTS_UCB1,MCTS_PUCT,0.200,Black,MCTS_PUCT,0,"Elimination / Block",134,120.41,120.46,15.958,0,5
3,MCTS_PUCT,MCTS_UCB1,0.200,Black,MCTS_UCB1,0,"Elimination / Block",114,91.01,87.88,10.061,0,2
4,MCTS_UCB1,MCTS_PUCT,0.200,Black,MCTS_PUCT,0,"Elimination / Block",90,96.65,92.63,8.373,0,1
5,MCTS_PUCT,MCTS_UCB1,0.200,Black,MCTS_UCB1,0,"Elimination / Block",134,138.87,136.31,18.221,0,4
6,MCTS_UCB1,MCTS_PUCT,0.200,Draw,Draw,1,"3-Fold Repetition",89,74.13,80.58,6.759,2,2
7,MCTS_PUCT,CheckerBoard,0.200,Draw,Draw,1,"3-Fold Repetition",91,86.03,163.24,11.071,3,3
8,CheckerBoard,MCTS_PUCT,0.200,Black,MCTS_PUCT,0,"Elimination / Block",52,127.93,89.40,5.441,0,6
9,MCTS_PUCT,CheckerBoard,0.200,White,MCTS_PUCT,0,"Elimination / Block",49,127.81,147.60,6.467,6,0
10,CheckerBoard,MCTS_PUCT,0.200,Black,MCTS_PUCT,0,"Elimination / Block",50,158.04,118.98,6.660,0,5
11,MCTS_PUCT,CheckerBoard,0.200,Draw,Draw,1,"3-Fold Repetition",95,186.18,177.84,16.945,3,7
12,CheckerBoard,MCTS_PUCT,0.200,White,CheckerBoard,0,"Elimination / Block",45,109.11,87.31,4.245,4,0
13,MCTS_PUCT,Kingsrow,0.200,Black,Kingsrow,0,"Elimination / Block",70,114.29,200.70,10.716,0,2
14,Kingsrow,MCTS_PUCT,0.200,White,Kingsrow,0,"Elimination / Block",77,191.86,93.57,10.772,2,0
15,MCTS_PUCT,Kingsrow,0.200,Black,Kingsrow,0,"Elimination / Block",116,82.42,212.66,16.830,0,2
16,Kingsrow,MCTS_PUCT,0.200,White,Kingsrow,0,"Elimination / Block",95,219.65,62.08,13.195,3,1
17,MCTS_PUCT,Kingsrow,0.200,Black,Kingsrow,0,"Elimination / Block",70,84.03,182.59,9.079,0,3
18,Kingsrow,MCTS_PUCT,0.200,White,Kingsrow,0,"Elimination / Block",77,216.52,82.73,11.297,4,0
19,MCTS_PUCT,Random,0.200,White,MCTS_PUCT,0,"Elimination / Block",31,108.39,0.00,1.630,10,1
20,Random,MCTS_PUCT,0.200,Black,MCTS_PUCT,0,"Elimination / Block",86,0.00,58.32,2.511,0,2
21,MCTS_PUCT,Random,0.200,White,MCTS_PUCT,0,"Elimination / Block",59,126.43,0.00,3.688,6,0
22,Random,MCTS_PUCT,0.200,Black,MCTS_PUCT,0,"Elimination / Block",36,0.00,107.81,1.845,0,8
23,MCTS_PUCT,Random,0.200,White,MCTS_PUCT,0,"Elimination / Block",29,130.56,0.00,1.836,9,1
24,Random,MCTS_PUCT,0.200,Black,MCTS_PUCT,0,"Elimination / Block",34,0.00,126.64,2.039,0,7
25,MCTS_UCB1,CheckerBoard,0.200,Draw,Draw,1,"3-Fold Repetition",136,73.58,184.70,17.327,2,1
26,CheckerBoard,MCTS_UCB1,0.200,White,CheckerBoard,0,"Elimination / Block",95,165.63,137.37,14.131,4,0
27,MCTS_UCB1,CheckerBoard,0.200,Black,CheckerBoard,0,"Elimination / Block",122,145.52,154.22,18.007,0,1
28,CheckerBoard,MCTS_UCB1,0.200,White,CheckerBoard,0,"Elimination / Block",63,130.97,169.14,9.144,6,0
29,MCTS_UCB1,CheckerBoard,0.200,Black,CheckerBoard,0,"Elimination / Block",98,85.18,137.85,10.757,0,4
30,CheckerBoard,MCTS_UCB1,0.200,White,CheckerBoard,0,"Elimination / Block",91,144.24,74.23,9.781,2,0
31,MCTS_UCB1,Kingsrow,0.200,Black,Kingsrow,0,"Elimination / Block",88,71.57,218.79,12.496,0,2
32,Kingsrow,MCTS_UCB1,0.200,White,Kingsrow,0,"Elimination / Block",63,204.58,81.44,8.790,3,0
33,MCTS_UCB1,Kingsrow,0.200,Black,Kingsrow,0,"Elimination / Block",58,94.53,207.55,8.463,0,4
34,Kingsrow,MCTS_UCB1,0.200,White,Kingsrow,0,"Elimination / Block",55,211.73,125.99,8.997,4,2
35,MCTS_UCB1,Kingsrow,0.200,Black,Kingsrow,0,"Elimination / Block",94,66.62,196.45,12.129,0,2
36,Kingsrow,MCTS_UCB1,0.200,White,Kingsrow,0,"Elimination / Block",59,187.63,87.28,7.896,3,0
37,MCTS_UCB1,Random,0.200,White,MCTS_UCB1,0,"Elimination / Block",51,130.78,0.00,3.282,5,0
38,Random,MCTS_UCB1,0.200,Black,MCTS_UCB1,0,"Elimination / Block",42,0.00,111.69,2.252,0,6
39,MCTS_UCB1,Random,0.200,White,MCTS_UCB1,0,"Elimination / Block",35,119.47,0.00,2.044,8,0
40,Random,MCTS_UCB1,0.200,Black,MCTS_UCB1,0,"Elimination / Block",40,0.00,106.66,2.044,0,5
41,MCTS_UCB1,Random,0.200,White,MCTS_UCB1,0,"Elimination / Block",37,101.49,0.00,1.835,9,0
42,Random,MCTS_UCB1,0.200,Black,MCTS_UCB1,0,"Elimination / Block",32,0.00,121.91,1.839,1,10
43,CheckerBoard,Kingsrow,0.200,Black,Kingsrow,0,"Elimination / Block",48,138.86,204.60,7.904,2,4
44,Kingsrow,CheckerBoard,0.200,White,Kingsrow,0,"Elimination / Block",61,190.89,144.62,9.946,3,1
45,CheckerBoard,Kingsrow,0.200,Black,Kingsrow,0,"Elimination / Block",46,130.78,192.45,7.120,0,7
46,Kingsrow,CheckerBoard,0.200,White,Kingsrow,0,"Elimination / Block",103,162.63,160.46,16.323,2,0
47,CheckerBoard,Kingsrow,0.200,Black,Kingsrow,0,"Elimination / Block",48,130.18,186.90,7.320,2,4
48,Kingsrow,CheckerBoard,0.200,White,Kingsrow,0,"Elimination / Block",97,163.33,136.76,14.287,2,0
49,CheckerBoard,Random,0.200,White,CheckerBoard,0,"Elimination / Block",49,133.13,0.00,3.202,5,0
50,Random,CheckerBoard,0.200,Black,CheckerBoard,0,"Elimination / Block",44,0.00,109.21,2.298,1,7
51,CheckerBoard,Random,0.200,White,CheckerBoard,0,"Elimination / Block",31,66.53,0.00,1.029,10,0
52,Random,CheckerBoard,0.200,Black,CheckerBoard,0,"Elimination / Block",40,0.00,96.95,1.852,0,8
53,CheckerBoard,Random,0.200,White,CheckerBoard,0,"Elimination / Block",35,117.51,0.00,2.021,7,0
54,Random,CheckerBoard,0.200,Black,CheckerBoard,0,"Elimination / Block",48,0.00,97.91,2.267,0,6
55,Kingsrow,Random,0.200,White,Kingsrow,0,"Elimination / Block",37,175.47,0.00,3.166,7,0
56,Random,Kingsrow,0.200,Black,Kingsrow,0,"Elimination / Block",40,0.00,181.22,3.447,1,8
57,Kingsrow,Random,0.200,White,Kingsrow,0,"Elimination / Block",49,199.92,0.00,4.802,6,1
58,Random,Kingsrow,0.200,Black,Kingsrow,0,"Elimination / Block",34,0.00,196.95,3.154,0,10
59,Kingsrow,Random,0.200,White,Kingsrow,0,"Elimination / Block",41,224.30,0.00,4.492,5,1
60,Random,Kingsrow,0.200,Black,Kingsrow,0,"Elimination / Block",40,0.00,156.36,2.974,1,7
