game_id,white_engine,black_engine,time_budget,winner_color,winner_engine,is_draw,reason,plies,white_avg_ms,black_avg_ms,duration_sec,white_pieces,black_pieces
1,MCTS_PUCT,MCTS_UCB1,3.000,White,MCTS_PUCT,0,"Elimination / Block",73,1426.36,1445.07,101.939,2,0
2,MCTS_UCB1,MCTS_PUCT,3.000,White,MCTS_UCB1,0,"Elimination / Block",101,1141.31,1054.71,108.769,2,0
3,MCTS_PUCT,CheckerBoard,3.000,Draw,Draw,1,"3-Fold Repetition",139,1761.65,2734.92,307.536,2,3
4,CheckerBoard,MCTS_PUCT,3.000,Black,MCTS_PUCT,0,"Elimination / Block",54,1961.31,1658.71,94.125,1,6
5,MCTS_PUCT,Kingsrow,3.000,Black,Kingsrow,0,"Elimination / Block",80,1473.11,2531.04,156.167,0,1
6,Kingsrow,MCTS_PUCT,3.000,White,Kingsrow,0,"Elimination / Block",83,2636.73,1601.55,172.173,4,0
7,MCTS_PUCT,Random,3.000,White,MCTS_PUCT,0,"Elimination / Block",33,1595.60,0.00,25.533,7,0
8,Random,MCTS_PUCT,3.000,Black,MCTS_PUCT,0,"Elimination / Block",40,0.00,1446.89,27.495,0,10
9,MCTS_UCB1,CheckerBoard,3.000,Draw,Draw,1,"3-Fold Repetition",77,1171.65,2351.11,131.520,2,2
10,CheckerBoard,MCTS_UCB1,3.000,White,CheckerBoard,0,"Elimination / Block",73,2083.09,858.43,105.044,2,0
11,MCTS_UCB1,Kingsrow,3.000,Black,Kingsrow,0,"Elimination / Block",60,1346.10,2531.11,112.443,0,4
12,Kingsrow,MCTS_UCB1,3.000,White,Kingsrow,0,"Elimination / Block",75,2879.71,1583.30,163.554,4,0
13,MCTS_UCB1,Random,3.000,White,MCTS_UCB1,0,"Elimination / Block",37,1501.64,0.00,27.035,9,1
14,Random,MCTS_UCB1,3.000,Black,MCTS_UCB1,0,"Elimination / Block",30,0.00,1502.35,21.035,0,10
15,CheckerBoard,Kingsrow,3.000,Black,Kingsrow,0,"Elimination / Block",220,2806.94,320.05,340.856,0,2
16,Kingsrow,CheckerBoard,3.000,White,Kingsrow,0,"Elimination / Block",51,2797.54,2124.70,120.935,3,2
17,CheckerBoard,Random,3.000,White,CheckerBoard,0,"Elimination / Block",49,2132.64,0.00,51.186,6,3
18,Random,CheckerBoard,3.000,Black,CheckerBoard,0,"Elimination / Block",40,0.00,1105.17,21.007,0,5
19,Kingsrow,Random,3.000,White,Kingsrow,0,"Elimination / Block",45,2189.25,0.00,48.167,7,1
20,Random,Kingsrow,3.000,Black,Kingsrow,0,"Elimination / Block",36,0.00,1656.92,28.170,1,9
