game_id,white_engine,black_engine,time_budget,winner_color,winner_engine,is_draw,reason,plies,white_avg_ms,black_avg_ms,duration_sec,white_pieces,black_pieces
1,MCTS_PUCT,MCTS_PUCT,0.050,Black,MCTS_PUCT,0,"Elimination / Block",80,22.36,23.56,1.830,0,4
2,MCTS_PUCT,MCTS_PUCT,0.050,White,MCTS_PUCT,0,"Elimination / Block",51,35.03,29.23,1.597,4,0
3,MCTS_PUCT,MCTS_PUCT,0.050,Black,MCTS_PUCT,0,"Elimination / Block",82,31.29,26.76,2.358,0,3
4,MCTS_PUCT,MCTS_PUCT,0.050,Draw,Draw,1,"3-Fold Repetition",120,14.75,15.57,1.871,1,1
5,MCTS_PUCT,MCTS_PUCT,0.050,Draw,Draw,1,"Max Plies Limit (250)",250,7.40,7.80,2.011,2,3
6,MCTS_PUCT,MCTS_PUCT,0.050,White,MCTS_PUCT,0,"Elimination / Block",107,26.25,29.28,2.968,3,0
7,MCTS_PUCT,MCTS_PUCT,0.050,White,MCTS_PUCT,0,"Elimination / Block",149,13.64,13.17,2.071,3,0
8,MCTS_PUCT,MCTS_PUCT,0.050,Draw,Draw,1,"3-Fold Repetition",154,18.89,19.12,2.961,2,2
9,MCTS_PUCT,MCTS_PUCT,0.050,White,MCTS_PUCT,0,"Elimination / Block",149,33.46,34.25,5.159,5,0
10,MCTS_PUCT,MCTS_PUCT,0.050,Black,MCTS_PUCT,0,"Elimination / Block",106,19.18,19.71,2.084,0,3
11,MCTS_PUCT,MCTS_PUCT,0.050,Draw,Draw,1,"3-Fold Repetition",108,36.80,38.00,4.001,1,4
12,MCTS_PUCT,MCTS_PUCT,0.050,Draw,Draw,1,"3-Fold Repetition",75,16.07,14.91,1.168,2,2
13,MCTS_PUCT,MCTS_PUCT,0.050,Draw,Draw,1,"Max Plies Limit (250)",250,40.55,39.47,10.561,5,2
14,MCTS_PUCT,MCTS_PUCT,0.050,White,MCTS_PUCT,0,"Elimination / Block",125,34.48,33.84,4.369,1,0
15,MCTS_PUCT,MCTS_PUCT,0.050,White,MCTS_PUCT,0,"Elimination / Block",73,31.40,32.37,2.307,4,0
16,MCTS_PUCT,MCTS_PUCT,0.050,Black,MCTS_PUCT,0,"Elimination / Block",84,18.99,18.59,1.587,0,4
17,MCTS_PUCT,MCTS_PUCT,0.050,Black,MCTS_PUCT,0,"Elimination / Block",48,23.85,28.19,1.220,1,5
18,MCTS_PUCT,MCTS_PUCT,0.050,Black,MCTS_PUCT,0,"Elimination / Block",106,30.75,29.16,3.227,0,1
19,MCTS_PUCT,MCTS_PUCT,0.050,Draw,Draw,1,"3-Fold Repetition",116,24.62,24.72,2.921,1,1
20,MCTS_PUCT,MCTS_PUCT,0.050,Draw,Draw,1,"3-Fold Repetition",118,27.62,28.42,3.400,2,2
