generation,rank,id,target_engine,score_pct,points,games_played,wins,draws,losses,elo,param_exploration,param_tau,rollout_epsilon,time_budget,max_rollout_depth,book_temperature,book_mode,use_book,use_db
1,1,2,"MCTS_PUCT",72.22,13.0,18,8,10,0,1666.0,1.9910,1.0405,0.2027,0.0500,64,2.2883,"GOOD",1,0
1,2,7,"MCTS_PUCT",58.33,10.5,18,4,13,1,1558.5,2.7589,1.2745,0.1578,0.0500,34,0.9169,"BEST",1,1
1,3,0,"MCTS_PUCT",55.56,10.0,18,3,14,1,1538.8,1.5000,1.0000,0.1500,0.0500,70,1.0000,"PUCT_GUIDED",1,1
1,4,8,"MCTS_PUCT",50.00,9.0,18,1,16,1,1500.0,3.4560,0.4638,0.1977,0.0500,27,1.7236,"GOOD",1,1
1,5,5,"MCTS_PUCT",47.22,8.5,18,2,13,3,1480.7,0.8952,1.1163,0.3313,0.0500,80,2.0088,"BEST",1,1
1,6,6,"MCTS_PUCT",47.22,8.5,18,1,15,2,1480.7,1.1907,0.4364,0.1905,0.0500,121,0.6695,"GOOD",1,1
1,7,1,"MCTS_PUCT",44.44,8.0,18,2,12,4,1461.2,0.5159,0.8695,0.3205,0.0500,92,1.7109,"BEST",1,1
1,8,3,"MCTS_PUCT",44.44,8.0,18,1,14,3,1461.2,2.3749,0.7326,0.0760,0.0500,140,0.4405,"BEST",1,1
1,9,9,"MCTS_PUCT",44.44,8.0,18,1,14,3,1461.2,0.6391,0.4617,0.2038,0.0500,75,1.4195,"BEST",1,1
1,10,4,"MCTS_PUCT",36.11,6.5,18,0,13,5,1400.9,0.5817,0.4105,0.1504,0.0500,70,2.1029,"PUCT_GUIDED",1,1
2,1,9,"MCTS_PUCT",61.11,11.0,18,4,14,0,1578.5,2.0145,1.1472,0.1698,0.0500,48,1.2493,"BEST",1,1
2,2,3,"MCTS_PUCT",58.33,10.5,18,3,15,0,1558.5,2.3683,1.2495,0.2039,0.0500,56,2.2229,"BEST",1,0
2,3,2,"MCTS_PUCT",55.56,10.0,18,3,14,1,1538.8,1.9926,1.0655,0.2058,0.0500,47,0.9822,"BEST",1,0
2,4,6,"MCTS_PUCT",55.56,10.0,18,2,16,0,1538.8,1.5168,0.9115,0.1500,0.0500,70,1.1900,"PUCT_GUIDED",1,0
2,5,0,"MCTS_PUCT",55.56,10.0,18,2,16,0,1538.8,1.9910,1.0405,0.2027,0.0500,64,2.2883,"GOOD",1,0
2,6,8,"MCTS_PUCT",50.00,9.0,18,1,16,1,1500.0,1.3835,0.5571,0.1918,0.0500,61,1.0871,"BEST",1,1
2,7,4,"MCTS_PUCT",47.22,8.5,18,2,13,3,1480.7,1.5000,1.0000,0.1500,0.0500,70,1.0000,"PUCT_GUIDED",1,1
2,8,1,"MCTS_PUCT",41.67,7.5,18,2,11,5,1441.5,2.7589,1.2745,0.1578,0.0500,34,0.9169,"BEST",1,1
2,9,5,"MCTS_PUCT",38.89,7.0,18,0,14,4,1421.5,0.5159,0.9908,0.3242,0.0500,92,1.7109,"ALL",1,1
2,10,7,"MCTS_PUCT",36.11,6.5,18,0,13,5,1400.9,0.5159,0.8695,0.3205,0.0500,92,1.7109,"BEST",1,1
3,1,1,"MCTS_PUCT",58.33,10.5,18,3,15,0,1558.5,2.3683,1.2495,0.2039,0.0500,56,2.2229,"BEST",1,0
3,2,6,"MCTS_PUCT",55.56,10.0,18,2,16,0,1538.8,2.2227,1.1594,0.1757,0.0500,49,2.2381,"BEST",1,0
3,3,9,"MCTS_PUCT",52.78,9.5,18,3,13,2,1519.3,2.6535,1.1742,0.2463,0.0500,56,2.2229,"BEST",1,0
3,4,5,"MCTS_PUCT",52.78,9.5,18,1,17,0,1519.3,2.3628,1.0655,0.2475,0.0500,55,1.0732,"BEST",1,0
3,5,3,"MCTS_PUCT",50.00,9.0,18,3,12,3,1500.0,2.3683,1.2495,0.2039,0.0500,56,2.4341,"BEST",1,0
3,6,2,"MCTS_PUCT",50.00,9.0,18,1,16,1,1500.0,1.6728,1.3386,0.1698,0.0500,48,0.9721,"BEST",1,1
3,7,7,"MCTS_PUCT",50.00,9.0,18,1,16,1,1500.0,2.1601,1.2372,0.1980,0.0500,55,1.2341,"BEST",1,0
3,8,0,"MCTS_PUCT",47.22,8.5,18,0,17,1,1480.7,2.0145,1.1472,0.1698,0.0500,48,1.2493,"BEST",1,1
3,9,4,"MCTS_PUCT",41.67,7.5,18,0,15,3,1441.5,2.0145,1.1472,0.1698,0.0500,48,1.2493,"BEST",1,1
3,10,8,"MCTS_PUCT",41.67,7.5,18,0,15,3,1441.5,1.3835,0.5571,0.1696,0.0500,61,1.0871,"BEST",1,1
4,1,5,"MCTS_PUCT",58.33,10.5,18,4,13,1,1558.5,2.3683,1.2495,0.2039,0.0500,56,2.3235,"BEST",1,0
4,2,7,"MCTS_PUCT",58.33,10.5,18,3,15,0,1558.5,2.3513,1.2398,0.2010,0.0500,55,2.2578,"BEST",1,0
4,3,9,"MCTS_PUCT",55.56,10.0,18,3,14,1,1538.8,2.3683,1.4257,0.2039,0.0500,56,2.4341,"BEST",1,0
4,4,4,"MCTS_PUCT",55.56,10.0,18,2,16,0,1538.8,2.3683,1.2495,0.2039,0.0500,56,2.3335,"BEST",1,0
4,5,6,"MCTS_PUCT",52.78,9.5,18,2,15,1,1519.3,2.1771,0.9976,0.2010,0.0500,56,1.4103,"BEST",1,0
4,6,1,"MCTS_PUCT",52.78,9.5,18,1,17,0,1519.3,2.2227,1.1594,0.1757,0.0500,49,2.2381,"BEST",1,0
4,7,2,"MCTS_PUCT",50.00,9.0,18,1,16,1,1500.0,2.3319,1.2372,0.1980,0.0500,55,1.2341,"BEST",1,0
4,8,0,"MCTS_PUCT",47.22,8.5,18,1,15,2,1480.7,2.3683,1.2495,0.2039,0.0500,56,2.2229,"BEST",1,0
4,9,8,"MCTS_PUCT",41.67,7.5,18,0,15,3,1441.5,1.5819,1.3386,0.1698,0.0500,48,0.9364,"BEST",0,1
4,10,3,"MCTS_PUCT",27.78,5.0,18,0,10,8,1334.0,1.6728,1.3386,0.1698,0.0500,48,0.9721,"BEST",1,1
