game_id,white_engine,black_engine,time_budget,winner_color,winner_engine,is_draw,reason,plies,white_avg_ms,black_avg_ms,duration_sec,white_pieces,black_pieces
1,MCTS_UCB1,MCTS_PUCT,0.200,White,MCTS_UCB1,0,"Elimination / Block",241,179.76,193.01,44.540,3,0
2,MCTS_PUCT,MCTS_UCB1,0.200,Draw,Draw,1,"3-Fold Repetition",83,192.73,177.60,15.006,4,4
3,MCTS_UCB1,MCTS_PUCT,0.200,Draw,Draw,1,"3-Fold Repetition",108,173.41,204.10,20.008,5,4
4,MCTS_PUCT,MCTS_UCB1,0.200,Draw,Draw,1,"Max Plies Limit (250)",250,202.96,190.24,48.756,3,3
5,MCTS_UCB1,MCTS_PUCT,0.200,White,MCTS_UCB1,0,"Elimination / Block",119,163.71,176.83,19.916,3,0
6,MCTS_PUCT,MCTS_UCB1,0.200,Black,MCTS_UCB1,0,"Elimination / Block",66,143.60,129.92,8.753,0,5
7,MCTS_UCB1,MCTS_PUCT,0.200,Draw,Draw,1,"Max Plies Limit (250)",250,191.25,196.42,48.072,2,3
8,MCTS_PUCT,MCTS_UCB1,0.200,Black,MCTS_UCB1,0,"Elimination / Block",230,193.98,176.88,42.278,0,2
9,MCTS_UCB1,MCTS_PUCT,0.200,White,MCTS_UCB1,0,"Elimination / Block",111,152.75,170.07,17.585,3,0
10,MCTS_PUCT,MCTS_UCB1,0.200,White,MCTS_PUCT,0,"Elimination / Block",107,157.21,158.31,16.564,5,0
11,MCTS_UCB1,MCTS_PUCT,0.200,Black,MCTS_PUCT,0,"Elimination / Block",58,123.13,120.48,6.821,0,3
12,MCTS_PUCT,MCTS_UCB1,0.200,Black,MCTS_UCB1,0,"Elimination / Block",114,166.67,155.08,18.018,0,2
13,MCTS_UCB1,MCTS_PUCT,0.200,White,MCTS_UCB1,0,"Elimination / Block",99,164.75,159.61,15.734,3,0
14,MCTS_PUCT,MCTS_UCB1,0.200,Black,MCTS_UCB1,0,"Elimination / Block",64,135.65,119.74,7.917,0,3
15,MCTS_UCB1,MCTS_PUCT,0.200,Draw,Draw,1,"3-Fold Repetition",89,173.79,185.33,15.616,4,4
16,MCTS_PUCT,MCTS_UCB1,0.200,White,MCTS_PUCT,0,"Elimination / Block",75,134.37,140.66,10.036,3,0
17,MCTS_UCB1,MCTS_PUCT,0.200,White,MCTS_UCB1,0,"Elimination / Block",121,152.26,181.09,19.820,5,0
18,MCTS_PUCT,MCTS_UCB1,0.200,Black,MCTS_UCB1,0,"Elimination / Block",118,166.06,162.50,19.057,0,3
19,MCTS_UCB1,MCTS_PUCT,0.200,Black,MCTS_PUCT,0,"Elimination / Block",144,173.54,177.90,24.952,0,3
20,MCTS_PUCT,MCTS_UCB1,0.200,Black,MCTS_UCB1,0,"Elimination / Block",96,158.73,144.53,14.253,0,2
21,MCTS_UCB1,MCTS_PUCT,0.200,Black,MCTS_PUCT,0,"Elimination / Block",124,164.97,164.35,20.089,0,3
22,MCTS_PUCT,MCTS_UCB1,0.200,White,MCTS_PUCT,0,"Elimination / Block",91,151.49,160.31,13.871,6,0
23,MCTS_UCB1,MCTS_PUCT,0.200,Draw,Draw,1,"Max Plies Limit (250)",250,189.71,203.80,48.795,5,4
24,MCTS_PUCT,MCTS_UCB1,0.200,Black,MCTS_UCB1,0,"Elimination / Block",132,166.51,164.64,21.525,0,2
25,MCTS_UCB1,MCTS_PUCT,0.200,Black,MCTS_PUCT,0,"Elimination / Block",152,176.99,175.80,26.460,0,5
26,MCTS_PUCT,MCTS_UCB1,0.200,Black,MCTS_UCB1,0,"Elimination / Block",114,172.60,157.46,18.484,0,2
27,MCTS_UCB1,MCTS_PUCT,0.200,Black,MCTS_PUCT,0,"Elimination / Block",100,159.77,150.42,15.199,0,6
28,MCTS_PUCT,MCTS_UCB1,0.200,Draw,Draw,1,"3-Fold Repetition",166,186.56,186.41,30.584,4,3
29,MCTS_UCB1,MCTS_PUCT,0.200,White,MCTS_UCB1,0,"Elimination / Block",113,169.76,178.74,19.338,3,0
30,MCTS_PUCT,MCTS_UCB1,0.200,White,MCTS_PUCT,0,"Elimination / Block",85,150.27,147.70,12.367,3,0
31,MCTS_UCB1,CheckerBoard,0.200,Black,CheckerBoard,0,"Elimination / Block",68,135.88,129.45,8.756,3,6
32,CheckerBoard,MCTS_UCB1,0.200,White,CheckerBoard,0,"Elimination / Block",111,160.30,162.38,17.585,4,0
33,MCTS_UCB1,CheckerBoard,0.200,White,MCTS_UCB1,0,"Elimination / Block",131,163.86,167.64,21.380,3,0
34,CheckerBoard,MCTS_UCB1,0.200,Draw,Draw,1,"3-Fold Repetition",141,185.50,177.65,25.243,2,3
35,MCTS_UCB1,CheckerBoard,0.200,Draw,Draw,1,"Max Plies Limit (250)",250,186.30,186.82,46.267,3,3
36,CheckerBoard,MCTS_UCB1,0.200,Draw,Draw,1,"3-Fold Repetition",111,177.93,171.29,19.036,3,4
37,MCTS_UCB1,CheckerBoard,0.200,Draw,Draw,1,"3-Fold Repetition",223,180.64,185.24,40.428,1,1
38,CheckerBoard,MCTS_UCB1,0.200,Draw,Draw,1,"3-Fold Repetition",111,174.35,171.41,18.846,3,4
39,MCTS_UCB1,CheckerBoard,0.200,Black,CheckerBoard,0,"Elimination / Block",178,177.03,170.60,30.592,0,3
40,CheckerBoard,MCTS_UCB1,0.200,White,CheckerBoard,0,"Elimination / Block",217,177.68,176.98,38.127,2,0
41,MCTS_UCB1,CheckerBoard,0.200,White,MCTS_UCB1,0,"Elimination / Block",53,108.86,136.05,6.232,6,2
42,CheckerBoard,MCTS_UCB1,0.200,Draw,Draw,1,"3-Fold Repetition",176,179.10,177.56,31.029,2,1
43,MCTS_UCB1,CheckerBoard,0.200,White,MCTS_UCB1,0,"Elimination / Block",77,127.00,135.82,9.857,3,0
44,CheckerBoard,MCTS_UCB1,0.200,Black,MCTS_UCB1,0,"Elimination / Block",96,170.58,155.61,15.331,0,4
45,MCTS_UCB1,CheckerBoard,0.200,Draw,Draw,1,"3-Fold Repetition",223,184.20,181.66,40.430,1,1
46,CheckerBoard,MCTS_UCB1,0.200,Black,MCTS_UCB1,0,"Elimination / Block",44,123.85,97.34,4.645,0,5
47,MCTS_UCB1,CheckerBoard,0.200,Black,CheckerBoard,0,"Elimination / Block",70,141.52,118.17,8.830,0,2
48,CheckerBoard,MCTS_UCB1,0.200,White,CheckerBoard,0,"Elimination / Block",129,154.52,156.24,19.733,2,0
49,MCTS_UCB1,CheckerBoard,0.200,Black,CheckerBoard,0,"Elimination / Block",132,172.38,163.37,21.824,0,4
50,CheckerBoard,MCTS_UCB1,0.200,White,CheckerBoard,0,"Elimination / Block",131,162.95,166.32,21.236,2,0
51,MCTS_UCB1,CheckerBoard,0.200,Black,CheckerBoard,0,"Elimination / Block",128,167.23,161.68,20.722,0,4
52,CheckerBoard,MCTS_UCB1,0.200,Black,MCTS_UCB1,0,"Elimination / Block",130,169.06,159.87,21.052,0,2
53,MCTS_UCB1,CheckerBoard,0.200,Black,CheckerBoard,0,"Elimination / Block",124,168.45,161.15,20.106,0,4
54,CheckerBoard,MCTS_UCB1,0.200,Draw,Draw,1,"3-Fold Repetition",240,183.01,181.96,43.432,1,1
55,MCTS_UCB1,CheckerBoard,0.200,Draw,Draw,1,"3-Fold Repetition",131,173.16,177.82,22.636,1,2
56,CheckerBoard,MCTS_UCB1,0.200,White,CheckerBoard,0,"Elimination / Block",147,164.47,168.93,24.169,4,0
