game_id,white_engine,black_engine,time_budget,winner_color,winner_engine,is_draw,reason,plies,white_avg_ms,black_avg_ms,duration_sec,white_pieces,black_pieces
1,MCTS_UCB1,MCTS_PUCT,1.000,White,MCTS_UCB1,0,"Elimination / Block",135,798.06,884.02,112.014,4,0
2,MCTS_PUCT,MCTS_UCB1,1.000,Draw,Draw,1,"Max Plies Limit (250)",250,942.54,928.50,232.065,1,3
3,MCTS_UCB1,MCTS_PUCT,1.000,Black,MCTS_PUCT,0,"Elimination / Block",98,767.71,739.43,72.589,0,4
4,MCTS_PUCT,MCTS_UCB1,1.000,White,MCTS_PUCT,0,"Elimination / Block",119,781.06,779.16,91.372,3,0
5,MCTS_UCB1,MCTS_PUCT,1.000,Black,MCTS_PUCT,0,"Elimination / Block",90,736.49,707.52,63.614,0,2
6,MCTS_PUCT,MCTS_UCB1,1.000,White,MCTS_PUCT,0,"Elimination / Block",107,735.68,771.41,79.290,3,0
7,MCTS_UCB1,MCTS_PUCT,1.000,Black,MCTS_PUCT,0,"Elimination / Block",142,858.47,837.56,118.953,0,2
8,MCTS_PUCT,MCTS_UCB1,1.000,Draw,Draw,1,"3-Fold Repetition",104,910.97,883.91,91.651,4,4
9,MCTS_UCB1,MCTS_PUCT,1.000,Draw,Draw,1,"3-Fold Repetition",143,874.67,880.58,123.922,3,3
10,MCTS_PUCT,MCTS_UCB1,1.000,White,MCTS_PUCT,0,"Elimination / Block",131,786.57,815.51,103.468,2,0
11,MCTS_UCB1,MCTS_PUCT,1.000,Black,MCTS_PUCT,0,"Elimination / Block",74,724.18,666.14,50.067,1,5
12,MCTS_PUCT,MCTS_UCB1,1.000,Black,MCTS_UCB1,0,"Elimination / Block",248,915.80,899.44,223.320,0,4
13,MCTS_UCB1,MCTS_PUCT,1.000,Draw,Draw,1,"3-Fold Repetition",105,866.54,871.18,89.506,3,3
14,MCTS_PUCT,MCTS_UCB1,1.000,Draw,Draw,1,"Max Plies Limit (250)",250,971.42,952.83,238.649,4,5
15,MCTS_UCB1,MCTS_PUCT,1.000,White,MCTS_UCB1,0,"Elimination / Block",191,852.49,912.98,166.836,3,0
16,MCTS_PUCT,MCTS_UCB1,1.000,Draw,Draw,1,"3-Fold Repetition",157,862.92,883.63,135.371,1,1
17,MCTS_UCB1,CheckerBoard,1.000,Draw,Draw,1,"Max Plies Limit (250)",250,928.22,958.50,233.997,3,2
18,CheckerBoard,MCTS_UCB1,1.000,White,CheckerBoard,0,"Elimination / Block",111,774.64,755.80,83.441,3,0
19,MCTS_UCB1,CheckerBoard,1.000,Draw,Draw,1,"Max Plies Limit (250)",250,911.99,925.96,227.947,1,1
20,CheckerBoard,MCTS_UCB1,1.000,Draw,Draw,1,"Max Plies Limit (250)",250,926.09,952.35,232.968,1,1
21,MCTS_UCB1,CheckerBoard,1.000,Draw,Draw,1,"3-Fold Repetition",155,897.10,932.53,139.976,3,3
22,CheckerBoard,MCTS_UCB1,1.000,White,CheckerBoard,0,"Elimination / Block",127,810.85,839.77,103.176,3,0
23,MCTS_UCB1,CheckerBoard,1.000,Draw,Draw,1,"Max Plies Limit (250)",250,944.45,942.10,233.975,3,2
24,CheckerBoard,MCTS_UCB1,1.000,Draw,Draw,1,"Max Plies Limit (250)",250,933.83,928.41,230.970,2,3
25,MCTS_UCB1,CheckerBoard,1.000,Draw,Draw,1,"Max Plies Limit (250)",250,928.23,934.13,230.977,2,2
26,CheckerBoard,MCTS_UCB1,1.000,White,CheckerBoard,0,"Elimination / Block",131,833.32,824.60,106.967,3,0
27,MCTS_UCB1,CheckerBoard,1.000,Draw,Draw,1,"3-Fold Repetition",127,905.88,885.21,111.974,4,4
28,CheckerBoard,MCTS_UCB1,1.000,Draw,Draw,1,"Max Plies Limit (250)",250,926.02,912.06,227.966,1,1
29,MCTS_UCB1,CheckerBoard,1.000,Draw,Draw,1,"3-Fold Repetition",193,938.42,935.36,178.980,3,3
30,CheckerBoard,MCTS_UCB1,1.000,White,CheckerBoard,0,"Elimination / Block",149,848.09,899.81,128.483,4,1
31,MCTS_UCB1,CheckerBoard,1.000,White,MCTS_UCB1,0,"Elimination / Block",53,548.65,718.86,32.250,5,1
32,CheckerBoard,MCTS_UCB1,1.000,Draw,Draw,1,"3-Fold Repetition",188,922.94,915.00,170.964,3,2
