game_id,white_engine,black_engine,time_budget,winner_color,winner_engine,is_draw,reason,plies,white_avg_ms,black_avg_ms,duration_sec,white_pieces,black_pieces
1,MCTS_UCB1,MCTS_PUCT,3.000,Black,MCTS_PUCT,0,"Elimination / Block",88,2124.51,2106.99,182.163,1,4
2,MCTS_PUCT,MCTS_UCB1,3.000,Black,MCTS_UCB1,0,"Elimination / Block",250,2678.30,2638.21,659.469,0,2
3,MCTS_UCB1,MCTS_PUCT,3.000,White,MCTS_UCB1,0,"Elimination / Block",105,2268.34,2133.85,227.008,3,0
4,MCTS_PUCT,MCTS_UCB1,3.000,Draw,Draw,1,"Max Plies Limit (250)",250,2674.14,2783.21,676.778,1,1
5,MCTS_UCB1,MCTS_PUCT,3.000,White,MCTS_UCB1,0,"Elimination / Block",129,2443.18,2392.86,307.249,3,0
6,MCTS_PUCT,MCTS_UCB1,3.000,White,MCTS_PUCT,0,"Elimination / Block",63,1551.28,1813.40,102.666,7,0
7,MCTS_UCB1,MCTS_PUCT,3.000,Draw,Draw,1,"Max Plies Limit (250)",250,2807.66,2792.14,694.643,4,4
8,MCTS_PUCT,MCTS_UCB1,3.000,Draw,Draw,1,"Max Plies Limit (250)",250,2764.22,2783.28,687.995,2,2
9,MCTS_UCB1,MCTS_PUCT,3.000,Black,MCTS_PUCT,0,"Elimination / Block",84,2110.01,1875.19,163.551,0,5
10,MCTS_PUCT,MCTS_UCB1,3.000,Draw,Draw,1,"Max Plies Limit (250)",250,2789.61,2783.55,691.198,3,5
11,MCTS_UCB1,CheckerBoard,3.000,Draw,Draw,1,"Max Plies Limit (250)",250,2783.31,2780.58,689.962,3,3
12,CheckerBoard,MCTS_UCB1,3.000,Black,MCTS_UCB1,0,"Elimination / Block",48,2084.97,1827.20,89.986,0,5
13,MCTS_UCB1,CheckerBoard,3.000,White,MCTS_UCB1,0,"Elimination / Block",49,1381.78,2095.48,81.367,7,0
14,CheckerBoard,MCTS_UCB1,3.000,Draw,Draw,1,"3-Fold Repetition",152,2638.49,2640.62,395.955,1,1
15,MCTS_UCB1,CheckerBoard,3.000,Draw,Draw,1,"3-Fold Repetition",153,2764.23,2838.32,422.978,3,3
16,CheckerBoard,MCTS_UCB1,3.000,Draw,Draw,1,"Max Plies Limit (250)",250,2805.10,2807.34,695.982,2,3
17,MCTS_UCB1,CheckerBoard,3.000,White,MCTS_UCB1,0,"Elimination / Block",117,2435.04,2419.85,279.181,2,0
18,CheckerBoard,MCTS_UCB1,3.000,Draw,Draw,1,"Max Plies Limit (250)",250,2805.01,2807.47,695.994,2,2
19,MCTS_UCB1,CheckerBoard,3.000,Draw,Draw,1,"Max Plies Limit (250)",250,2758.83,2805.18,689.980,1,1
20,CheckerBoard,MCTS_UCB1,3.000,Draw,Draw,1,"3-Fold Repetition",234,2765.54,2820.02,647.966,3,3
21,MCTS_UCB1,Kingsrow,3.000,Black,Kingsrow,0,"Elimination / Block",80,2163.98,1965.53,161.063,0,1
22,Kingsrow,MCTS_UCB1,3.000,White,Kingsrow,0,"Elimination / Block",123,2307.91,2254.74,276.088,2,0
23,MCTS_UCB1,Kingsrow,3.000,Black,Kingsrow,0,"Elimination / Block",70,2073.68,3174.02,178.432,3,7
24,Kingsrow,MCTS_UCB1,3.000,White,Kingsrow,0,"Elimination / Block",97,1717.75,2107.37,181.512,2,0
