generation,rank,id,target_engine,score_pct,points,games_played,wins,draws,losses,elo,param_exploration,param_tau,rollout_epsilon,time_budget,max_rollout_depth,book_temperature,book_mode,use_book,use_db
1,1,11,"MCTS_UCB1",95.00,28.5,30,27,3,0,2011.5,0.9129,0.0000,0.1701,0.2000,42,2.2806,"GOOD",1,0
1,2,7,"MCTS_UCB1",65.00,19.5,30,16,7,7,1607.5,0.6927,0.0000,0.0452,0.2000,75,1.7119,"PUCT_GUIDED",1,1
1,3,15,"MCTS_UCB1",58.33,17.5,30,12,11,7,1558.5,0.7647,0.0000,0.0709,0.2000,51,0.5395,"ALL",1,1
1,4,6,"MCTS_UCB1",56.67,17.0,30,11,12,7,1546.6,2.1226,0.0000,0.1530,0.2000,40,1.5154,"BEST",1,1
1,5,0,"MCTS_UCB1",56.67,17.0,30,8,18,4,1546.6,1.4142,0.0000,0.1500,0.2000,70,1.0000,"PUCT_GUIDED",1,1
1,6,5,"MCTS_UCB1",51.67,15.5,30,9,13,8,1511.6,0.8963,0.0000,0.2989,0.2000,114,0.2412,"PUCT_GUIDED",1,1
1,7,1,"MCTS_UCB1",51.67,15.5,30,9,13,8,1511.6,1.3234,0.0000,0.3287,0.2000,145,0.5132,"ALL",1,1
1,8,12,"MCTS_UCB1",50.00,15.0,30,9,12,9,1500.0,2.1086,0.0000,0.1836,0.2000,82,0.1107,"GOOD",1,1
1,9,4,"MCTS_UCB1",50.00,15.0,30,8,14,8,1500.0,2.4697,0.0000,0.1789,0.2000,38,0.3199,"ALL",1,1
1,10,9,"MCTS_UCB1",46.67,14.0,30,8,12,10,1476.8,2.6294,0.0000,0.1257,0.2000,99,2.1357,"BEST",1,1
1,11,3,"MCTS_UCB1",45.00,13.5,30,9,9,12,1465.1,2.1190,0.0000,0.1053,0.2000,124,0.8719,"PUCT_GUIDED",1,1
1,12,10,"MCTS_UCB1",40.00,12.0,30,8,8,14,1429.6,1.6413,0.0000,0.4121,0.2000,83,2.2259,"PUCT_GUIDED",1,1
1,13,2,"MCTS_UCB1",36.67,11.0,30,6,10,14,1405.1,1.8748,0.0000,0.3986,0.2000,47,0.1836,"BEST",1,1
1,14,8,"MCTS_UCB1",35.00,10.5,30,5,11,14,1392.5,2.3125,0.0000,0.3894,0.2000,139,1.8885,"BEST",1,1
1,15,14,"MCTS_UCB1",33.33,10.0,30,3,14,13,1379.6,2.1892,0.0000,0.3921,0.2000,48,1.4685,"GOOD",1,1
1,16,13,"MCTS_UCB1",28.33,8.5,30,3,11,16,1338.8,2.8775,0.0000,0.2314,0.2000,98,2.2949,"ALL",1,1
2,1,13,"MCTS_UCB1",90.00,27.0,30,25,4,1,1881.7,0.7852,0.0000,0.1463,0.2000,37,2.2806,"GOOD",1,0
2,2,0,"MCTS_UCB1",83.33,25.0,30,22,6,2,1779.6,0.9129,0.0000,0.1701,0.2000,42,2.2806,"GOOD",1,0
2,3,12,"MCTS_UCB1",83.33,25.0,30,22,6,2,1779.6,0.9129,0.0000,0.1701,0.2000,42,2.2806,"GOOD",1,0
2,4,4,"MCTS_UCB1",76.67,23.0,30,19,8,3,1706.7,1.1909,0.0000,0.1615,0.2000,86,1.3699,"PUCT_GUIDED",1,0
2,5,14,"MCTS_UCB1",73.33,22.0,30,17,10,3,1675.7,1.7002,0.0000,0.2701,0.2000,81,1.8641,"PUCT_GUIDED",1,0
2,6,15,"MCTS_UCB1",45.00,13.5,30,10,7,13,1465.1,0.7640,0.0000,0.1326,0.2000,77,2.0738,"PUCT_GUIDED",1,1
2,7,3,"MCTS_UCB1",45.00,13.5,30,7,13,10,1465.1,1.1992,0.0000,0.4320,0.2000,95,0.3748,"BEST",1,1
2,8,11,"MCTS_UCB1",43.33,13.0,30,8,10,12,1453.4,0.9450,0.0000,0.1081,0.2000,55,0.7445,"PUCT_GUIDED",1,1
2,9,10,"MCTS_UCB1",41.67,12.5,30,7,11,12,1441.5,0.9753,0.0000,0.1128,0.2000,66,0.7950,"PUCT_GUIDED",1,1
2,10,1,"MCTS_UCB1",36.67,11.0,30,4,14,12,1405.1,0.6927,0.0000,0.0452,0.2000,75,1.7119,"PUCT_GUIDED",1,1
2,11,8,"MCTS_UCB1",35.00,10.5,30,7,7,16,1392.5,2.3993,0.0000,0.1777,0.2000,40,0.5063,"BEST",1,1
2,12,7,"MCTS_UCB1",35.00,10.5,30,6,9,15,1392.5,1.8746,0.0000,0.0707,0.2000,70,1.2963,"PUCT_GUIDED",1,1
2,13,6,"MCTS_UCB1",31.67,9.5,30,4,11,15,1366.4,1.7702,0.0000,0.1259,0.2000,80,1.3788,"ALL",1,1
2,14,9,"MCTS_UCB1",28.33,8.5,30,4,9,17,1338.8,2.4162,0.0000,0.2051,0.2000,30,1.3291,"ALL",1,1
2,15,2,"MCTS_UCB1",28.33,8.5,30,3,11,16,1338.8,1.8171,0.0000,0.3054,0.2000,97,0.3220,"ALL",1,1
2,16,5,"MCTS_UCB1",23.33,7.0,30,4,6,20,1293.3,1.8410,0.0000,0.0972,0.2000,77,1.5468,"PUCT_GUIDED",1,1
3,1,9,"MCTS_UCB1",86.67,26.0,30,25,2,3,1825.2,0.8446,0.0000,0.1482,0.2000,82,2.1094,"ALL",1,0
3,2,0,"MCTS_UCB1",81.67,24.5,30,20,9,1,1759.5,0.7852,0.0000,0.1463,0.2000,37,2.2806,"GOOD",1,0
3,3,15,"MCTS_UCB1",75.00,22.5,30,19,7,4,1690.8,0.8177,0.0000,0.1227,0.2000,54,0.7638,"PUCT_GUIDED",1,0
3,4,11,"MCTS_UCB1",71.67,21.5,30,18,7,5,1661.2,0.9182,0.0000,0.1552,0.2000,53,1.2858,"PUCT_GUIDED",1,0
3,5,14,"MCTS_UCB1",70.00,21.0,30,19,4,7,1647.2,0.9125,0.0000,0.1157,0.2000,38,2.2613,"ALL",1,0
3,6,13,"MCTS_UCB1",70.00,21.0,30,16,10,4,1647.2,1.3601,0.0000,0.2701,0.2000,81,1.8641,"PUCT_GUIDED",0,0
3,7,1,"MCTS_UCB1",65.00,19.5,30,16,7,7,1607.5,0.9129,0.0000,0.1701,0.2000,42,2.2806,"GOOD",1,0
3,8,4,"MCTS_UCB1",43.33,13.0,30,8,10,12,1453.4,0.7640,0.0000,0.1326,0.2000,77,2.0738,"PUCT_GUIDED",1,1
3,9,5,"MCTS_UCB1",40.00,12.0,30,5,14,11,1429.6,0.7640,0.0000,0.1326,0.2000,66,2.0738,"PUCT_GUIDED",1,1
3,10,3,"MCTS_UCB1",33.33,10.0,30,7,6,17,1379.6,1.7702,0.0000,0.1259,0.2000,70,1.3788,"ALL",1,1
3,11,10,"MCTS_UCB1",31.67,9.5,30,7,5,18,1366.4,0.9700,0.0000,0.1277,0.2000,55,1.7898,"PUCT_GUIDED",1,1
3,12,12,"MCTS_UCB1",31.67,9.5,30,5,9,16,1366.4,0.9450,0.0000,0.1081,0.2000,55,0.7445,"PUCT_GUIDED",1,1
3,13,8,"MCTS_UCB1",31.67,9.5,30,5,9,16,1366.4,1.8385,0.0000,0.1478,0.2000,40,1.5500,"GOOD",1,1
3,14,6,"MCTS_UCB1",30.00,9.0,30,6,6,18,1352.8,1.2168,0.0000,0.1748,0.2000,41,2.1987,"GOOD",1,1
3,15,2,"MCTS_UCB1",23.33,7.0,30,4,6,20,1293.3,2.3993,0.0000,0.1777,0.2000,40,0.5063,"BEST",1,1
3,16,7,"MCTS_UCB1",15.00,4.5,30,0,9,21,1198.7,1.9846,0.0000,0.1766,0.2000,35,1.4736,"ALL",1,1
4,1,1,"MCTS_UCB1",81.67,24.5,30,21,7,2,1759.5,0.7852,0.0000,0.1463,0.2000,37,2.2806,"GOOD",1,0
4,2,8,"MCTS_UCB1",70.00,21.0,30,17,8,5,1647.2,0.8004,0.0000,0.1318,0.2000,49,2.2294,"PUCT_GUIDED",1,0
4,3,6,"MCTS_UCB1",68.33,20.5,30,16,9,5,1633.6,0.9903,0.0000,0.1475,0.2000,47,1.2725,"PUCT_GUIDED",1,0
4,4,5,"MCTS_UCB1",66.67,20.0,30,16,8,6,1620.4,0.8915,0.0000,0.2620,0.2000,57,1.6126,"PUCT_GUIDED",1,0
4,5,2,"MCTS_UCB1",63.33,19.0,30,16,6,8,1594.9,1.3601,0.0000,0.2676,0.2000,81,2.0390,"PUCT_GUIDED",0,0
4,6,9,"MCTS_UCB1",63.33,19.0,30,14,10,6,1594.9,0.8025,0.0000,0.1372,0.2000,40,0.6019,"ALL",1,0
4,7,10,"MCTS_UCB1",60.00,18.0,30,16,4,10,1570.4,0.8116,0.0000,0.1481,0.2000,56,2.2097,"GOOD",1,0
4,8,0,"MCTS_UCB1",60.00,18.0,30,13,10,7,1570.4,0.8446,0.0000,0.1482,0.2000,82,2.1094,"ALL",1,0
4,9,7,"MCTS_UCB1",56.67,17.0,30,14,6,10,1546.6,0.7977,0.0000,0.1215,0.2000,44,1.8678,"GOOD",1,0
4,10,12,"MCTS_UCB1",51.67,15.5,30,11,9,10,1511.6,1.8385,0.0000,0.1478,0.2000,40,1.5500,"GOOD",1,0
4,11,15,"MCTS_UCB1",50.00,15.0,30,12,6,12,1500.0,1.2912,0.0000,0.2478,0.2000,64,1.7960,"PUCT_GUIDED",1,0
4,12,4,"MCTS_UCB1",40.00,12.0,30,7,10,13,1429.6,1.3868,0.0000,0.1634,0.2000,77,1.5373,"PUCT_GUIDED",0,0
4,13,11,"MCTS_UCB1",23.33,7.0,30,3,8,19,1293.3,0.8182,0.0000,0.1464,0.2000,63,2.1199,"GOOD",1,1
4,14,14,"MCTS_UCB1",16.67,5.0,30,0,10,20,1220.4,1.0389,0.0000,0.1998,0.2000,66,1.8578,"PUCT_GUIDED",0,1
4,15,3,"MCTS_UCB1",15.00,4.5,30,2,5,23,1198.7,0.7640,0.0000,0.1326,0.2000,77,2.0738,"PUCT_GUIDED",1,1
4,16,13,"MCTS_UCB1",13.33,4.0,30,1,6,23,1174.8,1.8385,0.0000,0.2071,0.2000,40,1.5500,"GOOD",1,1
5,1,9,"MCTS_UCB1",73.33,22.0,30,17,10,3,1675.7,0.8006,0.0000,0.1323,0.2000,40,1.9177,"ALL",1,0
5,2,12,"MCTS_UCB1",66.67,20.0,30,15,10,5,1620.4,0.9903,0.0000,0.1475,0.2000,53,1.2725,"PUCT_GUIDED",1,0
5,3,5,"MCTS_UCB1",65.00,19.5,30,13,13,4,1607.5,0.7097,0.0000,0.1481,0.2000,56,2.2097,"BEST",1,0
5,4,6,"MCTS_UCB1",60.00,18.0,30,13,10,7,1570.4,0.8121,0.0000,0.1466,0.2000,48,2.1851,"GOOD",1,0
5,5,0,"MCTS_UCB1",60.00,18.0,30,12,12,6,1570.4,0.7852,0.0000,0.1463,0.2000,37,2.2806,"GOOD",1,0
5,6,8,"MCTS_UCB1",58.33,17.5,30,14,7,9,1558.5,0.8023,0.0000,0.1367,0.2000,49,0.9137,"PUCT_GUIDED",1,0
5,7,11,"MCTS_UCB1",58.33,17.5,30,12,11,7,1558.5,0.8169,0.0000,0.0919,0.2000,43,1.0041,"ALL",1,0
5,8,10,"MCTS_UCB1",56.67,17.0,30,12,10,8,1546.6,0.9760,0.0000,0.1390,0.2000,44,0.8702,"ALL",1,0
5,9,4,"MCTS_UCB1",56.67,17.0,30,10,14,6,1546.6,0.7549,0.0000,0.2620,0.2000,57,1.6126,"PUCT_GUIDED",1,0
5,10,3,"MCTS_UCB1",55.00,16.5,30,12,9,9,1534.9,1.2119,0.0000,0.2145,0.2000,76,2.0040,"PUCT_GUIDED",1,0
5,11,1,"MCTS_UCB1",46.67,14.0,30,10,8,12,1476.8,0.8004,0.0000,0.1318,0.2000,49,2.2294,"PUCT_GUIDED",1,0
5,12,2,"MCTS_UCB1",46.67,14.0,30,9,10,11,1476.8,0.9240,0.0000,0.1815,0.2000,77,1.9014,"ALL",1,0
5,13,7,"MCTS_UCB1",38.33,11.5,30,7,9,14,1417.4,0.9998,0.0000,0.1479,0.2000,71,2.2050,"ALL",1,0
5,14,14,"MCTS_UCB1",38.33,11.5,30,6,11,13,1417.4,1.1231,0.0000,0.1436,0.2000,57,0.9174,"PUCT_GUIDED",1,0
5,15,13,"MCTS_UCB1",11.67,3.5,30,2,3,25,1148.3,0.8004,0.0000,0.1318,0.2000,49,2.2294,"PUCT_GUIDED",1,1
5,16,15,"MCTS_UCB1",8.33,2.5,30,0,5,25,1083.4,0.8831,0.0000,0.1934,0.2000,49,1.5424,"PUCT_GUIDED",0,1
