game_id,white_engine,black_engine,time_budget,winner_color,winner_engine,is_draw,reason,plies,white_avg_ms,black_avg_ms,duration_sec,white_pieces,black_pieces
1,MCTS_PUCT (No-DB),Kingsrow,0.200,Black,Kingsrow,0,"Elimination / Block",142,169.85,200.83,25.955,0,2
2,Kingsrow,MCTS_PUCT (No-DB),0.200,White,Kingsrow,0,"Elimination / Block",105,217.90,161.86,19.592,3,0
3,MCTS_PUCT (No-DB),Kingsrow,0.200,Black,Kingsrow,0,"Elimination / Block",68,164.96,223.97,12.839,1,4
4,Kingsrow,MCTS_PUCT (No-DB),0.200,White,Kingsrow,0,"Elimination / Block",75,185.68,139.90,11.911,2,0
5,MCTS_PUCT (No-DB),Kingsrow,0.200,Black,Kingsrow,0,"Elimination / Block",112,164.70,144.26,17.000,0,2
6,Kingsrow,MCTS_PUCT (No-DB),0.200,White,Kingsrow,0,"Elimination / Block",73,207.85,144.05,12.528,4,1
7,MCTS_PUCT (No-DB),Kingsrow,0.200,Black,Kingsrow,0,"Elimination / Block",96,167.48,212.55,17.867,1,2
8,Kingsrow,MCTS_PUCT (No-DB),0.200,Draw,Draw,1,"Max Plies Limit (250)",250,45.65,188.17,29.011,2,2
9,MCTS_PUCT (No-DB),Kingsrow,0.200,Black,Kingsrow,0,"Elimination / Block",128,172.61,217.19,24.565,0,3
10,Kingsrow,MCTS_PUCT (No-DB),0.200,White,Kingsrow,0,"Elimination / Block",123,202.40,161.32,22.034,2,0
11,MCTS_PUCT (No-DB),Kingsrow,0.200,Black,Kingsrow,0,"Elimination / Block",76,152.45,175.44,12.137,0,4
12,Kingsrow,MCTS_PUCT (No-DB),0.200,White,Kingsrow,0,"Elimination / Block",129,219.11,169.69,24.721,3,0
13,MCTS_PUCT (No-DB),Kingsrow,0.200,Black,Kingsrow,0,"Elimination / Block",116,166.06,170.00,19.162,0,2
14,Kingsrow,MCTS_PUCT (No-DB),0.200,White,Kingsrow,0,"Elimination / Block",89,200.35,149.89,15.266,2,0
15,MCTS_PUCT (No-DB),Kingsrow,0.200,Black,Kingsrow,0,"Elimination / Block",104,169.95,189.10,18.318,0,2
16,Kingsrow,MCTS_PUCT (No-DB),0.200,White,Kingsrow,0,"Elimination / Block",113,200.74,168.44,20.513,2,0
17,MCTS_PUCT (No-DB),Kingsrow,0.200,Black,Kingsrow,0,"Elimination / Block",60,145.80,167.31,9.084,1,2
18,Kingsrow,MCTS_PUCT (No-DB),0.200,White,Kingsrow,0,"Elimination / Block",85,212.34,152.51,15.177,3,0
19,MCTS_PUCT (No-DB),Kingsrow,0.200,Black,Kingsrow,0,"Elimination / Block",114,161.76,178.75,19.076,0,2
20,Kingsrow,MCTS_PUCT (No-DB),0.200,White,Kingsrow,0,"Elimination / Block",81,209.56,155.30,14.446,2,1
21,MCTS_PUCT (No-DB),Kingsrow,0.200,Black,Kingsrow,0,"Elimination / Block",78,153.96,205.70,13.672,0,2
22,Kingsrow,MCTS_PUCT (No-DB),0.200,White,Kingsrow,0,"Elimination / Block",69,185.04,146.56,11.132,2,0
23,MCTS_PUCT (No-DB),Kingsrow,0.200,Black,Kingsrow,0,"Elimination / Block",122,161.04,177.23,20.304,0,2
24,Kingsrow,MCTS_PUCT (No-DB),0.200,White,Kingsrow,0,"Elimination / Block",77,206.02,158.57,13.700,5,2
25,MCTS_PUCT (No-DB),Kingsrow,0.200,Black,Kingsrow,0,"Elimination / Block",214,180.43,53.38,24.796,0,2
26,Kingsrow,MCTS_PUCT (No-DB),0.200,White,Kingsrow,0,"Elimination / Block",109,215.86,163.48,20.327,2,0
27,MCTS_PUCT (No-DB),Kingsrow,0.200,Black,Kingsrow,0,"Elimination / Block",82,156.05,203.42,14.384,0,3
28,Kingsrow,MCTS_PUCT (No-DB),0.200,White,Kingsrow,0,"Elimination / Block",89,198.42,150.03,15.186,2,0
29,MCTS_PUCT (No-DB),Kingsrow,0.200,Black,Kingsrow,0,"Elimination / Block",92,152.42,182.16,15.063,0,2
30,Kingsrow,MCTS_PUCT (No-DB),0.200,White,Kingsrow,0,"Elimination / Block",123,186.61,174.27,21.846,3,0
