game_id,white_engine,black_engine,time_budget,winner_color,winner_engine,is_draw,reason,plies,white_avg_ms,black_avg_ms,duration_sec,white_pieces,black_pieces
1,MCTS_PUCT (No-DB),Random,0.200,White,MCTS_PUCT (No-DB),0,"Elimination / Block",45,137.67,0.00,3.031,6,0
2,Random,MCTS_PUCT (No-DB),0.200,Black,MCTS_PUCT (No-DB),0,"Elimination / Block",38,0.00,123.29,2.222,0,7
3,MCTS_PUCT (No-DB),Random,0.200,White,MCTS_PUCT (No-DB),0,"Elimination / Block",39,105.99,0.00,2.017,8,0
4,Random,MCTS_PUCT (No-DB),0.200,Black,MCTS_PUCT (No-DB),0,"Elimination / Block",40,0.00,128.02,2.436,0,8
5,MCTS_PUCT (No-DB),Random,0.200,White,MCTS_PUCT (No-DB),0,"Elimination / Block",51,128.87,0.00,3.224,8,0
6,Random,MCTS_PUCT (No-DB),0.200,Black,MCTS_PUCT (No-DB),0,"Elimination / Block",38,0.00,100.53,1.813,0,9
7,MCTS_PUCT (No-DB),Random,0.200,White,MCTS_PUCT (No-DB),0,"Elimination / Block",39,117.06,0.00,2.230,9,0
8,Random,MCTS_PUCT (No-DB),0.200,Black,MCTS_PUCT (No-DB),0,"Elimination / Block",38,0.00,78.66,1.418,0,9
9,MCTS_PUCT (No-DB),Random,0.200,White,MCTS_PUCT (No-DB),0,"Elimination / Block",51,113.00,0.00,2.828,6,0
10,Random,MCTS_PUCT (No-DB),0.200,Black,MCTS_PUCT (No-DB),0,"Elimination / Block",36,0.00,130.16,2.215,0,7
11,MCTS_PUCT (No-DB),Random,0.200,White,MCTS_PUCT (No-DB),0,"Elimination / Block",45,118.95,0.00,2.620,7,0
12,Random,MCTS_PUCT (No-DB),0.200,Black,MCTS_PUCT (No-DB),0,"Elimination / Block",40,0.00,116.79,2.222,0,8
13,MCTS_PUCT (No-DB),Random,0.200,White,MCTS_PUCT (No-DB),0,"Elimination / Block",37,90.08,0.00,1.625,8,0
14,Random,MCTS_PUCT (No-DB),0.200,Black,MCTS_PUCT (No-DB),0,"Elimination / Block",34,0.00,88.87,1.426,0,9
15,MCTS_PUCT (No-DB),Random,0.200,White,MCTS_PUCT (No-DB),0,"Elimination / Block",35,106.57,0.00,1.815,8,0
16,Random,MCTS_PUCT (No-DB),0.200,Black,MCTS_PUCT (No-DB),0,"Elimination / Block",44,0.00,134.77,2.837,0,7
17,MCTS_PUCT (No-DB),Random,0.200,White,MCTS_PUCT (No-DB),0,"Elimination / Block",41,111.06,0.00,2.231,9,0
18,Random,MCTS_PUCT (No-DB),0.200,Black,MCTS_PUCT (No-DB),0,"Elimination / Block",42,0.00,131.01,2.671,0,8
19,MCTS_PUCT (No-DB),Random,0.200,White,MCTS_PUCT (No-DB),0,"Elimination / Block",39,127.15,0.00,2.418,7,2
20,Random,MCTS_PUCT (No-DB),0.200,Black,MCTS_PUCT (No-DB),0,"Elimination / Block",30,0.00,101.01,1.418,0,8
21,MCTS_PUCT (No-DB),Random,0.200,White,MCTS_PUCT (No-DB),0,"Elimination / Block",39,127.20,0.00,2.425,9,0
22,Random,MCTS_PUCT (No-DB),0.200,Black,MCTS_PUCT (No-DB),0,"Elimination / Block",48,0.00,113.92,2.625,0,5
23,MCTS_PUCT (No-DB),Random,0.200,White,MCTS_PUCT (No-DB),0,"Elimination / Block",35,106.91,0.00,1.828,9,0
24,Random,MCTS_PUCT (No-DB),0.200,Black,MCTS_PUCT (No-DB),0,"Elimination / Block",38,0.00,111.85,2.017,0,8
25,MCTS_PUCT (No-DB),Random,0.200,White,MCTS_PUCT (No-DB),0,"Elimination / Block",35,107.05,0.00,1.824,10,0
26,Random,MCTS_PUCT (No-DB),0.200,Black,MCTS_PUCT (No-DB),0,"Elimination / Block",42,0.00,120.67,2.415,0,7
27,MCTS_PUCT (No-DB),Random,0.200,White,MCTS_PUCT (No-DB),0,"Elimination / Block",43,105.84,0.00,2.224,9,0
28,Random,MCTS_PUCT (No-DB),0.200,Black,MCTS_PUCT (No-DB),0,"Elimination / Block",46,0.00,128.29,2.824,0,6
29,MCTS_PUCT (No-DB),Random,0.200,White,MCTS_PUCT (No-DB),0,"Elimination / Block",39,116.88,0.00,2.224,9,0
30,Random,MCTS_PUCT (No-DB),0.200,Black,MCTS_PUCT (No-DB),0,"Elimination / Block",32,0.00,94.03,1.413,0,8
