game_id,white_engine,black_engine,time_budget,winner_color,winner_engine,is_draw,reason,plies,white_avg_ms,black_avg_ms,duration_sec,white_pieces,black_pieces
1,MCTS_UCB1 (No-DB),Random,0.200,White,MCTS_UCB1 (No-DB),0,"Elimination / Block",35,106.22,0.00,1.815,9,0
2,Random,MCTS_UCB1 (No-DB),0.200,Black,MCTS_UCB1 (No-DB),0,"Elimination / Block",40,0.00,105.61,2.017,0,8
3,MCTS_UCB1 (No-DB),Random,0.200,White,MCTS_UCB1 (No-DB),0,"Elimination / Block",29,85.96,0.00,1.209,9,0
4,Random,MCTS_UCB1 (No-DB),0.200,Black,MCTS_UCB1 (No-DB),0,"Elimination / Block",34,0.00,100.48,1.618,0,9
5,MCTS_UCB1 (No-DB),Random,0.200,White,MCTS_UCB1 (No-DB),0,"Elimination / Block",37,100.29,0.00,1.808,9,0
6,Random,MCTS_UCB1 (No-DB),0.200,Black,MCTS_UCB1 (No-DB),0,"Elimination / Block",34,0.00,100.34,1.614,0,9
7,MCTS_UCB1 (No-DB),Random,0.200,White,MCTS_UCB1 (No-DB),0,"Elimination / Block",41,130.41,0.00,2.620,8,1
8,Random,MCTS_UCB1 (No-DB),0.200,Black,MCTS_UCB1 (No-DB),0,"Elimination / Block",52,0.00,128.36,3.214,0,6
9,MCTS_UCB1 (No-DB),Random,0.200,White,MCTS_UCB1 (No-DB),0,"Elimination / Block",33,87.77,0.00,1.412,9,0
10,Random,MCTS_UCB1 (No-DB),0.200,Black,MCTS_UCB1 (No-DB),0,"Elimination / Block",36,0.00,106.18,1.809,0,8
11,MCTS_UCB1 (No-DB),Random,0.200,White,MCTS_UCB1 (No-DB),0,"Elimination / Block",57,143.10,0.00,4.015,5,0
12,Random,MCTS_UCB1 (No-DB),0.200,Black,MCTS_UCB1 (No-DB),0,"Elimination / Block",32,0.00,80.29,1.207,0,10
13,MCTS_UCB1 (No-DB),Random,0.200,White,MCTS_UCB1 (No-DB),0,"Elimination / Block",41,130.31,0.00,2.610,9,0
14,Random,MCTS_UCB1 (No-DB),0.200,Black,MCTS_UCB1 (No-DB),0,"Elimination / Block",36,0.00,153.10,2.609,0,5
15,MCTS_UCB1 (No-DB),Random,0.200,White,MCTS_UCB1 (No-DB),0,"Elimination / Block",43,124.11,0.00,2.617,5,0
16,Random,MCTS_UCB1 (No-DB),0.200,Black,MCTS_UCB1 (No-DB),0,"Elimination / Block",42,0.00,120.32,2.411,1,7
17,MCTS_UCB1 (No-DB),Random,0.200,White,MCTS_UCB1 (No-DB),0,"Elimination / Block",43,124.15,0.00,2.614,5,0
18,Random,MCTS_UCB1 (No-DB),0.200,Black,MCTS_UCB1 (No-DB),0,"Elimination / Block",42,0.00,100.26,2.012,0,9
19,MCTS_UCB1 (No-DB),Random,0.200,White,MCTS_UCB1 (No-DB),0,"Elimination / Block",41,100.28,0.00,2.011,7,0
20,Random,MCTS_UCB1 (No-DB),0.200,Black,MCTS_UCB1 (No-DB),0,"Elimination / Block",40,0.00,116.05,2.209,0,9
21,MCTS_UCB1 (No-DB),Random,0.200,White,MCTS_UCB1 (No-DB),0,"Elimination / Block",43,124.14,0.00,2.613,6,0
22,Random,MCTS_UCB1 (No-DB),0.200,Black,MCTS_UCB1 (No-DB),0,"Elimination / Block",44,0.00,124.15,2.635,0,7
23,MCTS_UCB1 (No-DB),Random,0.200,White,MCTS_UCB1 (No-DB),0,"Elimination / Block",39,116.13,0.00,2.210,7,0
24,Random,MCTS_UCB1 (No-DB),0.200,Black,MCTS_UCB1 (No-DB),0,"Elimination / Block",38,0.00,133.57,2.409,0,10
25,MCTS_UCB1 (No-DB),Random,0.200,White,MCTS_UCB1 (No-DB),0,"Elimination / Block",37,122.60,0.00,2.234,9,0
26,Random,MCTS_UCB1 (No-DB),0.200,Black,MCTS_UCB1 (No-DB),0,"Elimination / Block",34,0.00,112.84,1.814,0,8
27,MCTS_UCB1 (No-DB),Random,0.200,White,MCTS_UCB1 (No-DB),0,"Elimination / Block",35,117.93,0.00,2.008,8,0
28,Random,MCTS_UCB1 (No-DB),0.200,Black,MCTS_UCB1 (No-DB),0,"Elimination / Block",36,0.00,117.93,2.011,0,7
29,MCTS_UCB1 (No-DB),Random,0.200,White,MCTS_UCB1 (No-DB),0,"Elimination / Block",37,78.03,0.00,1.408,8,0
30,Random,MCTS_UCB1 (No-DB),0.200,Black,MCTS_UCB1 (No-DB),0,"Elimination / Block",44,0.00,133.51,2.806,0,9
