game_id,white_engine,black_engine,time_budget,winner_color,winner_engine,is_draw,reason,plies,white_avg_ms,black_avg_ms,duration_sec,white_pieces,black_pieces
1,MCTS_PUCT (No-DB),MCTS_PUCT (DB),0.200,Black,MCTS_PUCT (DB),0,"Elimination / Block",90,164.91,192.90,15.748,0,1
2,MCTS_PUCT (DB),MCTS_PUCT (No-DB),0.200,Black,MCTS_PUCT (No-DB),0,"Elimination / Block",78,196.59,154.07,13.332,0,3
3,MCTS_PUCT (No-DB),MCTS_PUCT (DB),0.200,White,MCTS_PUCT (No-DB),0,"Elimination / Block",85,163.29,190.64,14.679,2,1
4,MCTS_PUCT (DB),MCTS_PUCT (No-DB),0.200,Black,MCTS_PUCT (No-DB),0,"Elimination / Block",54,156.30,139.96,7.706,0,6
5,MCTS_PUCT (No-DB),MCTS_PUCT (DB),0.200,White,MCTS_PUCT (No-DB),0,"Elimination / Block",203,180.04,254.49,43.646,3,1
6,MCTS_PUCT (DB),MCTS_PUCT (No-DB),0.200,Black,MCTS_PUCT (No-DB),0,"Elimination / Block",128,268.56,176.43,28.043,1,3
7,MCTS_PUCT (No-DB),MCTS_PUCT (DB),0.200,Draw,Draw,1,"Max Plies Limit (250)",250,192.33,265.13,56.740,2,5
8,MCTS_PUCT (DB),MCTS_PUCT (No-DB),0.200,Black,MCTS_PUCT (No-DB),0,"Elimination / Block",104,210.03,162.46,19.003,0,2
9,MCTS_PUCT (No-DB),MCTS_PUCT (DB),0.200,Draw,Draw,1,"Max Plies Limit (250)",250,185.32,247.01,53.622,1,1
10,MCTS_PUCT (DB),MCTS_PUCT (No-DB),0.200,Draw,Draw,1,"Max Plies Limit (250)",250,256.48,190.55,55.448,3,2
11,MCTS_PUCT (No-DB),MCTS_PUCT (DB),0.200,Draw,Draw,1,"Max Plies Limit (250)",250,190.79,254.18,55.190,2,3
12,MCTS_PUCT (DB),MCTS_PUCT (No-DB),0.200,Black,MCTS_PUCT (No-DB),0,"Elimination / Block",216,226.75,179.00,43.427,0,2
