game_id,white_engine,black_engine,time_budget,winner_color,winner_engine,is_draw,reason,plies,white_avg_ms,black_avg_ms,duration_sec,white_pieces,black_pieces
1,MCTS_PUCT (No-DB),MCTS_PUCT (DB),1.000,Draw,Draw,1,"Max Plies Limit (250)",250,962.39,978.09,240.634,4,4
2,MCTS_PUCT (DB),MCTS_PUCT (No-DB),1.000,Black,MCTS_PUCT (No-DB),0,"Elimination / Block",82,873.08,726.45,63.985,0,5
3,MCTS_PUCT (No-DB),MCTS_PUCT (DB),1.000,White,MCTS_PUCT (No-DB),0,"Elimination / Block",81,801.28,855.89,65.435,3,1
4,MCTS_PUCT (DB),MCTS_PUCT (No-DB),1.000,Draw,Draw,1,"Max Plies Limit (250)",250,970.58,944.55,237.490,3,2
5,MCTS_PUCT (No-DB),MCTS_PUCT (DB),1.000,Black,MCTS_PUCT (DB),0,"Elimination / Block",98,851.41,831.70,80.796,0,4
6,MCTS_PUCT (DB),MCTS_PUCT (No-DB),1.000,Black,MCTS_PUCT (No-DB),0,"Elimination / Block",110,847.18,798.13,88.854,0,2
7,MCTS_PUCT (No-DB),MCTS_PUCT (DB),1.000,White,MCTS_PUCT (No-DB),0,"Elimination / Block",131,862.87,880.96,112.476,4,0
8,MCTS_PUCT (DB),MCTS_PUCT (No-DB),1.000,Black,MCTS_PUCT (No-DB),0,"Elimination / Block",80,762.46,741.80,58.672,0,4
9,MCTS_PUCT (No-DB),MCTS_PUCT (DB),1.000,White,MCTS_PUCT (No-DB),0,"Elimination / Block",81,726.43,820.47,61.060,3,0
10,MCTS_PUCT (DB),MCTS_PUCT (No-DB),1.000,Draw,Draw,1,"3-Fold Repetition",110,899.80,909.63,97.715,6,5
11,MCTS_PUCT (No-DB),MCTS_PUCT (DB),1.000,Draw,Draw,1,"Max Plies Limit (250)",250,945.21,973.54,237.939,2,2
12,MCTS_PUCT (DB),MCTS_PUCT (No-DB),1.000,Draw,Draw,1,"Max Plies Limit (250)",250,972.49,931.03,236.050,2,2
13,MCTS_PUCT (No-DB),MCTS_PUCT (DB),1.000,White,MCTS_PUCT (No-DB),0,"Elimination / Block",157,856.80,973.72,141.816,3,0
14,MCTS_PUCT (DB),MCTS_PUCT (No-DB),1.000,Black,MCTS_PUCT (No-DB),0,"Elimination / Block",150,928.31,865.95,132.784,0,3
15,MCTS_PUCT (No-DB),MCTS_PUCT (DB),1.000,Draw,Draw,1,"3-Fold Repetition",188,914.09,949.69,173.342,1,1
16,MCTS_PUCT (DB),MCTS_PUCT (No-DB),1.000,White,MCTS_PUCT (DB),0,"Elimination / Block",217,937.23,905.51,198.124,3,1
