game_id,white_engine,black_engine,time_budget,winner_color,winner_engine,is_draw,reason,plies,white_avg_ms,black_avg_ms,duration_sec,white_pieces,black_pieces
1,MCTS_UCB1 (No-DB),Kingsrow,3.000,Black,Kingsrow,0,"Elimination / Block",72,2372.85,2130.56,157.624,0,2
2,Kingsrow,MCTS_UCB1 (No-DB),3.000,White,Kingsrow,0,"Elimination / Block",89,2705.06,2380.99,221.410,2,0
3,MCTS_UCB1 (No-DB),Kingsrow,3.000,Black,Kingsrow,0,"Elimination / Block",86,2486.64,2835.97,223.555,0,4
4,Kingsrow,MCTS_UCB1 (No-DB),3.000,White,Kingsrow,0,"Elimination / Block",99,2537.05,2246.51,232.153,3,0
5,MCTS_UCB1 (No-DB),Kingsrow,3.000,Black,Kingsrow,0,"Elimination / Block",140,2352.31,2936.48,364.934,0,2
6,Kingsrow,MCTS_UCB1 (No-DB),3.000,White,Kingsrow,0,"Elimination / Block",123,2898.34,2216.29,309.783,1,0
7,MCTS_UCB1 (No-DB),Kingsrow,3.000,Black,Kingsrow,0,"Elimination / Block",100,2161.81,2823.57,244.289,1,3
8,Kingsrow,MCTS_UCB1 (No-DB),3.000,White,Kingsrow,0,"Elimination / Block",103,2453.97,2205.61,235.438,2,0
9,MCTS_UCB1 (No-DB),Kingsrow,3.000,Black,Kingsrow,0,"Elimination / Block",108,2130.26,1937.40,215.591,0,2
10,Kingsrow,MCTS_UCB1 (No-DB),3.000,White,Kingsrow,0,"Elimination / Block",103,2963.62,2163.02,259.300,2,0
