game_id,white_engine,black_engine,time_budget,winner_color,winner_engine,is_draw,reason,plies,white_avg_ms,black_avg_ms,duration_sec,white_pieces,black_pieces
1,MCTS_UCB1 (No-DB),MCTS_UCB1 (DB),1.000,Draw,Draw,1,"3-Fold Repetition",201,921.00,904.85,181.696,2,3
2,MCTS_UCB1 (DB),MCTS_UCB1 (No-DB),1.000,Draw,Draw,1,"Max Plies Limit (250)",250,931.44,952.67,233.651,3,3
3,MCTS_UCB1 (No-DB),MCTS_UCB1 (DB),1.000,Draw,Draw,1,"Max Plies Limit (250)",250,928.40,923.73,229.682,1,1
4,MCTS_UCB1 (DB),MCTS_UCB1 (No-DB),1.000,White,MCTS_UCB1 (DB),0,"Elimination / Block",235,945.34,906.10,215.730,1,0
5,MCTS_UCB1 (No-DB),MCTS_UCB1 (DB),1.000,Black,MCTS_UCB1 (DB),0,"Elimination / Block",106,827.61,808.88,85.105,0,3
6,MCTS_UCB1 (DB),MCTS_UCB1 (No-DB),1.000,Draw,Draw,1,"3-Fold Repetition",120,867.30,899.13,104.228,4,3
7,MCTS_UCB1 (No-DB),MCTS_UCB1 (DB),1.000,Draw,Draw,1,"Max Plies Limit (250)",250,944.55,940.08,233.714,2,2
8,MCTS_UCB1 (DB),MCTS_UCB1 (No-DB),1.000,White,MCTS_UCB1 (DB),0,"Elimination / Block",131,817.41,875.86,109.194,4,0
9,MCTS_UCB1 (No-DB),MCTS_UCB1 (DB),1.000,White,MCTS_UCB1 (No-DB),0,"Elimination / Block",167,868.49,884.88,144.660,3,0
10,MCTS_UCB1 (DB),MCTS_UCB1 (No-DB),1.000,Draw,Draw,1,"3-Fold Repetition",206,966.05,922.70,192.669,3,3
11,MCTS_UCB1 (No-DB),MCTS_UCB1 (DB),1.000,White,MCTS_UCB1 (No-DB),0,"Elimination / Block",107,812.32,851.67,87.348,5,0
12,MCTS_UCB1 (DB),MCTS_UCB1 (No-DB),1.000,Black,MCTS_UCB1 (No-DB),0,"Elimination / Block",126,905.78,855.79,109.231,0,3
13,MCTS_UCB1 (No-DB),MCTS_UCB1 (DB),1.000,Draw,Draw,1,"Max Plies Limit (250)",250,952.71,948.07,235.719,2,3
14,MCTS_UCB1 (DB),MCTS_UCB1 (No-DB),1.000,Black,MCTS_UCB1 (No-DB),0,"Elimination / Block",186,895.31,881.44,163.479,0,2
15,MCTS_UCB1 (No-DB),MCTS_UCB1 (DB),1.000,Draw,Draw,1,"Max Plies Limit (250)",250,928.51,930.68,230.562,1,1
16,MCTS_UCB1 (DB),MCTS_UCB1 (No-DB),1.000,Black,MCTS_UCB1 (No-DB),0,"Elimination / Block",94,808.12,805.19,74.220,0,1
17,MCTS_UCB1 (No-DB),MCTS_UCB1 (DB),1.000,White,MCTS_UCB1 (No-DB),0,"Elimination / Block",93,783.55,824.74,73.164,3,1
18,MCTS_UCB1 (DB),MCTS_UCB1 (No-DB),1.000,Black,MCTS_UCB1 (No-DB),0,"Elimination / Block",210,908.39,914.52,189.602,0,2
19,MCTS_UCB1 (No-DB),MCTS_UCB1 (DB),1.000,White,MCTS_UCB1 (No-DB),0,"Elimination / Block",113,822.31,819.86,91.152,3,0
20,MCTS_UCB1 (DB),MCTS_UCB1 (No-DB),1.000,Draw,Draw,1,"3-Fold Repetition",52,881.96,800.92,42.076,6,6
21,MCTS_UCB1 (No-DB),MCTS_UCB1 (DB),1.000,Draw,Draw,1,"Max Plies Limit (250)",250,944.68,931.49,232.673,2,3
22,MCTS_UCB1 (DB),MCTS_UCB1 (No-DB),1.000,Black,MCTS_UCB1 (No-DB),0,"Elimination / Block",78,817.90,737.67,59.117,0,3
23,MCTS_UCB1 (No-DB),MCTS_UCB1 (DB),1.000,Draw,Draw,1,"Max Plies Limit (250)",250,936.63,947.84,233.695,4,3
24,MCTS_UCB1 (DB),MCTS_UCB1 (No-DB),1.000,Black,MCTS_UCB1 (No-DB),0,"Elimination / Block",122,856.74,817.64,100.474,0,3
25,MCTS_UCB1 (No-DB),MCTS_UCB1 (DB),1.000,Draw,Draw,1,"3-Fold Repetition",250,928.40,938.21,231.480,1,1
26,MCTS_UCB1 (DB),MCTS_UCB1 (No-DB),1.000,Black,MCTS_UCB1 (No-DB),0,"Elimination / Block",92,802.57,823.20,73.170,0,4
27,MCTS_UCB1 (No-DB),MCTS_UCB1 (DB),1.000,Draw,Draw,1,"3-Fold Repetition",83,854.71,878.14,70.176,5,5
28,MCTS_UCB1 (DB),MCTS_UCB1 (No-DB),1.000,Draw,Draw,1,"3-Fold Repetition",100,839.00,837.67,82.164,4,3
29,MCTS_UCB1 (No-DB),MCTS_UCB1 (DB),1.000,White,MCTS_UCB1 (No-DB),0,"Elimination / Block",53,693.09,721.61,36.064,5,1
30,MCTS_UCB1 (DB),MCTS_UCB1 (No-DB),1.000,Black,MCTS_UCB1 (No-DB),0,"Elimination / Block",126,873.01,839.52,106.185,1,4
31,MCTS_UCB1 (No-DB),MCTS_UCB1 (DB),1.000,White,MCTS_UCB1 (No-DB),0,"Elimination / Block",211,886.61,906.62,187.400,1,0
32,MCTS_UCB1 (DB),MCTS_UCB1 (No-DB),1.000,Black,MCTS_UCB1 (No-DB),0,"Elimination / Block",246,945.25,910.69,226.440,0,3
