game_id,white_engine,black_engine,time_budget,winner_color,winner_engine,is_draw,reason,plies,white_avg_ms,black_avg_ms,duration_sec,white_pieces,black_pieces
1,Kingsrow,MCTS_PUCT (DB),1.000,White,Kingsrow,0,"Elimination / Block",91,848.96,737.90,70.676,2,0
2,MCTS_PUCT (DB),Kingsrow,1.000,Black,Kingsrow,0,"Elimination / Block",100,806.22,702.71,73.943,0,2
3,Kingsrow,MCTS_PUCT (DB),1.000,White,Kingsrow,0,"Elimination / Block",95,906.50,855.59,81.969,4,1
4,MCTS_PUCT (DB),Kingsrow,1.000,Black,Kingsrow,0,"Elimination / Block",66,561.50,874.33,45.950,0,4
5,Kingsrow,MCTS_PUCT (DB),1.000,White,Kingsrow,0,"Elimination / Block",111,898.86,856.10,95.673,2,0
6,MCTS_PUCT (DB),Kingsrow,1.000,Black,Kingsrow,0,"Elimination / Block",108,825.34,992.09,96.331,0,1
7,Kingsrow,MCTS_PUCT (DB),1.000,White,Kingsrow,0,"Elimination / Block",81,851.64,708.55,61.704,3,0
8,MCTS_PUCT (DB),Kingsrow,1.000,Black,Kingsrow,0,"Elimination / Block",142,888.15,1037.25,134.787,0,1
9,Kingsrow,MCTS_PUCT (DB),1.000,White,Kingsrow,0,"Elimination / Block",91,905.93,769.13,74.614,2,0
10,MCTS_PUCT (DB),Kingsrow,1.000,Black,Kingsrow,0,"Elimination / Block",70,762.22,850.93,54.851,0,3
11,Kingsrow,MCTS_PUCT (DB),1.000,White,Kingsrow,0,"Elimination / Block",53,908.72,699.29,41.112,2,0
12,MCTS_PUCT (DB),Kingsrow,1.000,Black,Kingsrow,0,"Elimination / Block",124,894.93,909.86,110.099,0,2
13,Kingsrow,MCTS_PUCT (DB),1.000,Draw,Draw,1,"Max Plies Limit (250)",250,144.66,997.73,141.671,4,4
14,MCTS_PUCT (DB),Kingsrow,1.000,Black,Kingsrow,0,"Elimination / Block",116,864.58,856.57,98.112,0,2
15,Kingsrow,MCTS_PUCT (DB),1.000,White,Kingsrow,0,"Elimination / Block",89,706.11,734.64,62.663,2,0
16,MCTS_PUCT (DB),Kingsrow,1.000,Black,Kingsrow,0,"Elimination / Block",144,863.37,793.54,117.649,0,2
17,Kingsrow,MCTS_PUCT (DB),1.000,White,Kingsrow,0,"Elimination / Block",91,933.83,883.59,80.906,4,1
18,MCTS_PUCT (DB),Kingsrow,1.000,Black,Kingsrow,0,"Elimination / Block",78,715.26,906.90,61.646,1,3
19,Kingsrow,MCTS_PUCT (DB),1.000,White,Kingsrow,0,"Elimination / Block",79,790.40,741.64,59.012,2,0
20,MCTS_PUCT (DB),Kingsrow,1.000,Black,Kingsrow,0,"Elimination / Block",90,782.80,376.85,51.029,0,2
21,Kingsrow,MCTS_PUCT (DB),1.000,White,Kingsrow,0,"Elimination / Block",109,812.50,822.95,87.498,2,0
22,MCTS_PUCT (DB),Kingsrow,1.000,Black,Kingsrow,0,"Elimination / Block",96,849.62,251.65,51.764,0,2
23,Kingsrow,MCTS_PUCT (DB),1.000,White,Kingsrow,0,"Elimination / Block",139,707.02,854.22,106.878,2,0
24,MCTS_PUCT (DB),Kingsrow,1.000,Black,Kingsrow,0,"Elimination / Block",98,814.40,776.03,76.346,0,2
25,Kingsrow,MCTS_PUCT (DB),1.000,White,Kingsrow,0,"Elimination / Block",89,759.53,797.86,67.732,2,0
26,MCTS_PUCT (DB),Kingsrow,1.000,Black,Kingsrow,0,"Elimination / Block",118,875.25,1005.09,109.066,0,3
27,Kingsrow,MCTS_PUCT (DB),1.000,White,Kingsrow,0,"Elimination / Block",55,833.14,811.43,43.595,5,2
28,MCTS_PUCT (DB),Kingsrow,1.000,Black,Kingsrow,0,"Elimination / Block",82,783.26,1021.54,72.196,2,5
29,Kingsrow,MCTS_PUCT (DB),1.000,White,Kingsrow,0,"Elimination / Block",119,851.15,809.63,97.182,2,0
30,MCTS_PUCT (DB),Kingsrow,1.000,Black,Kingsrow,0,"Elimination / Block",122,887.40,872.49,105.599,0,1
31,Kingsrow,MCTS_PUCT (DB),1.000,White,Kingsrow,0,"Elimination / Block",69,794.33,729.50,51.084,2,1
32,MCTS_PUCT (DB),Kingsrow,1.000,Black,Kingsrow,0,"Elimination / Block",100,813.39,875.69,82.770,0,2
