game_id,white_engine,black_engine,time_budget,winner_color,winner_engine,is_draw,reason,plies,white_avg_ms,black_avg_ms,duration_sec,white_pieces,black_pieces
1,Kingsrow,MCTS_UCB1 (DB),1.000,White,Kingsrow,0,"Elimination / Block",123,977.09,867.20,111.641,3,0
2,MCTS_UCB1 (DB),Kingsrow,1.000,Black,Kingsrow,0,"Elimination / Block",112,855.66,928.73,98.149,0,3
3,Kingsrow,MCTS_UCB1 (DB),1.000,White,Kingsrow,0,"Elimination / Block",69,943.58,758.22,57.106,2,0
4,MCTS_UCB1 (DB),Kingsrow,1.000,Black,Kingsrow,0,"Elimination / Block",118,897.31,938.59,106.488,0,2
5,Kingsrow,MCTS_UCB1 (DB),1.000,White,Kingsrow,0,"Elimination / Block",95,506.82,781.67,59.782,2,0
6,MCTS_UCB1 (DB),Kingsrow,1.000,Black,Kingsrow,0,"Elimination / Block",72,743.57,806.67,54.262,0,4
7,Kingsrow,MCTS_UCB1 (DB),1.000,White,Kingsrow,0,"Elimination / Block",71,722.50,735.96,50.314,3,0
8,MCTS_UCB1 (DB),Kingsrow,1.000,Black,Kingsrow,0,"Elimination / Block",104,881.44,829.65,87.273,0,2
9,Kingsrow,MCTS_UCB1 (DB),1.000,White,Kingsrow,0,"Elimination / Block",79,914.73,869.78,68.730,5,1
10,MCTS_UCB1 (DB),Kingsrow,1.000,Black,Kingsrow,0,"Elimination / Block",72,743.88,834.55,55.249,0,4
11,Kingsrow,MCTS_UCB1 (DB),1.000,White,Kingsrow,0,"Elimination / Block",91,830.89,841.92,74.439,3,1
12,MCTS_UCB1 (DB),Kingsrow,1.000,Draw,Draw,1,"Max Plies Limit (250)",250,938.29,207.91,142.143,2,2
13,Kingsrow,MCTS_UCB1 (DB),1.000,White,Kingsrow,0,"Elimination / Block",63,671.14,634.01,39.829,3,0
14,MCTS_UCB1 (DB),Kingsrow,1.000,Black,Kingsrow,0,"Elimination / Block",106,732.66,508.17,64.529,0,2
15,Kingsrow,MCTS_UCB1 (DB),1.000,White,Kingsrow,0,"Elimination / Block",123,810.99,817.70,98.539,2,0
16,MCTS_UCB1 (DB),Kingsrow,1.000,Black,Kingsrow,0,"Elimination / Block",108,853.49,977.37,97.042,1,3
17,Kingsrow,MCTS_UCB1 (DB),1.000,White,Kingsrow,0,"Elimination / Block",89,461.95,769.20,53.405,2,0
18,MCTS_UCB1 (DB),Kingsrow,1.000,Black,Kingsrow,0,"Elimination / Block",102,881.59,1100.03,99.086,2,4
19,Kingsrow,MCTS_UCB1 (DB),1.000,White,Kingsrow,0,"Elimination / Block",123,559.78,868.97,86.291,2,0
20,MCTS_UCB1 (DB),Kingsrow,1.000,Black,Kingsrow,0,"Elimination / Block",124,870.13,901.96,108.104,0,2
21,Kingsrow,MCTS_UCB1 (DB),1.000,White,Kingsrow,0,"Elimination / Block",95,836.24,762.26,74.372,2,0
22,MCTS_UCB1 (DB),Kingsrow,1.000,Black,Kingsrow,0,"Elimination / Block",84,781.53,920.38,69.787,0,2
23,Kingsrow,MCTS_UCB1 (DB),1.000,White,Kingsrow,0,"Elimination / Block",67,908.64,751.10,54.024,3,1
24,MCTS_UCB1 (DB),Kingsrow,1.000,Black,Kingsrow,0,"Elimination / Block",76,730.81,800.74,56.672,0,1
25,Kingsrow,MCTS_UCB1 (DB),1.000,White,Kingsrow,0,"Elimination / Block",81,914.84,795.78,67.634,3,1
26,MCTS_UCB1 (DB),Kingsrow,1.000,Black,Kingsrow,0,"Elimination / Block",74,861.49,924.95,64.316,3,8
27,Kingsrow,MCTS_UCB1 (DB),1.000,White,Kingsrow,0,"Elimination / Block",95,938.50,805.22,81.155,3,0
28,MCTS_UCB1 (DB),Kingsrow,1.000,Black,Kingsrow,0,"Elimination / Block",110,779.08,763.37,83.297,0,2
29,Kingsrow,MCTS_UCB1 (DB),1.000,White,Kingsrow,0,"Elimination / Block",97,1005.42,766.22,84.277,3,0
30,MCTS_UCB1 (DB),Kingsrow,1.000,Black,Kingsrow,0,"Elimination / Block",88,767.89,1010.94,76.494,0,3
31,Kingsrow,MCTS_UCB1 (DB),1.000,White,Kingsrow,0,"Elimination / Block",85,1001.53,756.52,73.085,4,0
32,MCTS_UCB1 (DB),Kingsrow,1.000,Draw,Draw,1,"Max Plies Limit (250)",250,922.90,182.29,137.057,1,1
