game_id,white_engine,black_engine,time_budget,winner_color,winner_engine,is_draw,reason,plies,white_avg_ms,black_avg_ms,duration_sec,white_pieces,black_pieces
1,MCTS_UCB1 (No-DB),MCTS_PUCT (No-DB),0.200,Black,MCTS_PUCT (No-DB),0,"Elimination / Block",112,178.38,172.09,19.282,1,4
2,MCTS_PUCT (No-DB),MCTS_UCB1 (No-DB),0.200,Draw,Draw,1,"3-Fold Repetition",229,185.45,184.27,41.976,2,2
3,MCTS_UCB1 (No-DB),MCTS_PUCT (No-DB),0.200,Draw,Draw,1,"3-Fold Repetition",224,185.77,186.83,41.373,2,2
4,MCTS_PUCT (No-DB),MCTS_UCB1 (No-DB),0.200,Draw,Draw,1,"3-Fold Repetition",143,178.17,180.18,25.271,1,1
5,MCTS_UCB1 (No-DB),MCTS_PUCT (No-DB),0.200,Draw,Draw,1,"Max Plies Limit (250)",250,188.93,187.25,46.662,3,3
6,MCTS_PUCT (No-DB),MCTS_UCB1 (No-DB),0.200,White,MCTS_PUCT (No-DB),0,"Elimination / Block",57,144.27,163.25,8.451,6,2
7,MCTS_UCB1 (No-DB),MCTS_PUCT (No-DB),0.200,Draw,Draw,1,"3-Fold Repetition",206,184.48,183.41,37.536,1,1
8,MCTS_PUCT (No-DB),MCTS_UCB1 (No-DB),0.200,Draw,Draw,1,"Max Plies Limit (250)",250,186.93,182.47,45.821,1,1
9,MCTS_UCB1 (No-DB),MCTS_PUCT (No-DB),0.200,Draw,Draw,1,"Max Plies Limit (250)",250,192.13,188.38,47.198,3,3
10,MCTS_PUCT (No-DB),MCTS_UCB1 (No-DB),0.200,Black,MCTS_UCB1 (No-DB),0,"Elimination / Block",108,175.03,166.28,18.095,1,5
11,MCTS_UCB1 (No-DB),MCTS_PUCT (No-DB),0.200,Black,MCTS_PUCT (No-DB),0,"Elimination / Block",88,153.73,149.94,13.064,0,3
12,MCTS_PUCT (No-DB),MCTS_UCB1 (No-DB),0.200,Black,MCTS_UCB1 (No-DB),0,"Elimination / Block",114,162.03,168.07,18.493,0,3
13,MCTS_UCB1 (No-DB),MCTS_PUCT (No-DB),0.200,Draw,Draw,1,"Max Plies Limit (250)",250,190.52,188.73,47.042,3,3
14,MCTS_PUCT (No-DB),MCTS_UCB1 (No-DB),0.200,Draw,Draw,1,"3-Fold Repetition",69,166.56,163.89,11.075,4,5
15,MCTS_UCB1 (No-DB),MCTS_PUCT (No-DB),0.200,Black,MCTS_PUCT (No-DB),0,"Elimination / Block",68,151.74,152.82,10.054,1,5
16,MCTS_PUCT (No-DB),MCTS_UCB1 (No-DB),0.200,Draw,Draw,1,"Max Plies Limit (250)",250,190.21,192.17,47.433,2,2
17,MCTS_UCB1 (No-DB),MCTS_PUCT (No-DB),0.200,Black,MCTS_PUCT (No-DB),0,"Elimination / Block",162,177.75,171.58,27.956,0,1
18,MCTS_PUCT (No-DB),MCTS_UCB1 (No-DB),0.200,Draw,Draw,1,"Max Plies Limit (250)",250,188.64,185.68,46.433,2,3
19,MCTS_UCB1 (No-DB),MCTS_PUCT (No-DB),0.200,Black,MCTS_PUCT (No-DB),0,"Elimination / Block",84,175.86,158.07,13.696,1,6
20,MCTS_PUCT (No-DB),MCTS_UCB1 (No-DB),0.200,Black,MCTS_UCB1 (No-DB),0,"Elimination / Block",98,159.65,150.26,14.882,0,2
21,MCTS_UCB1 (No-DB),MCTS_PUCT (No-DB),0.200,Draw,Draw,1,"Max Plies Limit (250)",250,187.35,190.52,46.872,3,3
22,MCTS_PUCT (No-DB),MCTS_UCB1 (No-DB),0.200,Draw,Draw,1,"Max Plies Limit (250)",250,192.17,195.42,48.078,4,4
23,MCTS_UCB1 (No-DB),MCTS_PUCT (No-DB),0.200,Draw,Draw,1,"Max Plies Limit (250)",250,192.19,190.65,47.492,3,3
24,MCTS_PUCT (No-DB),MCTS_UCB1 (No-DB),0.200,Draw,Draw,1,"Max Plies Limit (250)",250,186.74,187.30,46.397,1,1
