game_id,white_engine,black_engine,time_budget,winner_color,winner_engine,is_draw,reason,plies,white_avg_ms,black_avg_ms,duration_sec,white_pieces,black_pieces
1,MCTS_UCB1 (No-DB),MCTS_PUCT (No-DB),1.000,Black,MCTS_PUCT (No-DB),0,"Elimination / Block",92,775.57,747.93,68.563,0,3
2,MCTS_PUCT (No-DB),MCTS_UCB1 (No-DB),1.000,Draw,Draw,1,"3-Fold Repetition",191,861.11,896.87,166.122,1,1
3,MCTS_UCB1 (No-DB),MCTS_PUCT (No-DB),1.000,White,MCTS_UCB1 (No-DB),0,"Elimination / Block",121,831.63,829.97,98.873,5,1
4,MCTS_PUCT (No-DB),MCTS_UCB1 (No-DB),1.000,White,MCTS_PUCT (No-DB),0,"Elimination / Block",165,820.34,906.58,140.710,4,0
5,MCTS_UCB1 (No-DB),MCTS_PUCT (No-DB),1.000,Draw,Draw,1,"Max Plies Limit (250)",250,905.25,860.70,218.993,1,1
6,MCTS_PUCT (No-DB),MCTS_UCB1 (No-DB),1.000,Black,MCTS_UCB1 (No-DB),0,"Elimination / Block",100,766.68,804.70,77.003,0,1
7,MCTS_UCB1 (No-DB),MCTS_PUCT (No-DB),1.000,White,MCTS_UCB1 (No-DB),0,"Elimination / Block",83,780.77,824.59,64.999,5,1
8,MCTS_PUCT (No-DB),MCTS_UCB1 (No-DB),1.000,White,MCTS_PUCT (No-DB),0,"Elimination / Block",151,746.69,888.94,121.791,3,0
9,MCTS_UCB1 (No-DB),MCTS_PUCT (No-DB),1.000,Draw,Draw,1,"3-Fold Repetition",170,924.17,792.35,144.198,3,2
10,MCTS_PUCT (No-DB),MCTS_UCB1 (No-DB),1.000,Black,MCTS_UCB1 (No-DB),0,"Elimination / Block",156,826.09,873.21,130.855,0,3
11,MCTS_UCB1 (No-DB),MCTS_PUCT (No-DB),1.000,White,MCTS_UCB1 (No-DB),0,"Elimination / Block",165,854.83,821.97,136.685,3,0
12,MCTS_PUCT (No-DB),MCTS_UCB1 (No-DB),1.000,Black,MCTS_UCB1 (No-DB),0,"Elimination / Block",160,808.33,864.99,132.202,0,2
13,MCTS_UCB1 (No-DB),MCTS_PUCT (No-DB),1.000,Black,MCTS_PUCT (No-DB),0,"Elimination / Block",104,812.70,774.47,80.951,0,2
14,MCTS_PUCT (No-DB),MCTS_UCB1 (No-DB),1.000,Draw,Draw,1,"3-Fold Repetition",231,860.54,894.52,200.950,1,1
15,MCTS_UCB1 (No-DB),MCTS_PUCT (No-DB),1.000,Draw,Draw,1,"Max Plies Limit (250)",250,945.57,836.28,220.965,4,4
16,MCTS_PUCT (No-DB),MCTS_UCB1 (No-DB),1.000,Black,MCTS_UCB1 (No-DB),0,"Elimination / Block",242,880.81,901.73,213.918,0,4
17,MCTS_UCB1 (No-DB),CheckerBoard,1.000,White,MCTS_UCB1 (No-DB),0,"Elimination / Block",69,706.15,695.11,46.952,4,0
18,CheckerBoard,MCTS_UCB1 (No-DB),1.000,White,CheckerBoard,0,"Elimination / Block",95,743.85,800.05,71.768,3,0
19,MCTS_UCB1 (No-DB),CheckerBoard,1.000,White,MCTS_UCB1 (No-DB),0,"Elimination / Block",115,786.19,801.56,89.706,2,0
20,CheckerBoard,MCTS_UCB1 (No-DB),1.000,White,CheckerBoard,0,"Elimination / Block",125,744.24,837.62,97.245,4,0
21,MCTS_UCB1 (No-DB),CheckerBoard,1.000,Draw,Draw,1,"3-Fold Repetition",101,843.53,833.86,83.042,3,3
22,CheckerBoard,MCTS_UCB1 (No-DB),1.000,Draw,Draw,1,"3-Fold Repetition",194,902.75,937.39,176.665,4,3
23,MCTS_UCB1 (No-DB),CheckerBoard,1.000,White,MCTS_UCB1 (No-DB),0,"Elimination / Block",75,722.99,704.48,52.116,3,0
24,CheckerBoard,MCTS_UCB1 (No-DB),1.000,Black,MCTS_UCB1 (No-DB),0,"Elimination / Block",78,773.84,726.28,57.009,0,3
25,MCTS_UCB1 (No-DB),CheckerBoard,1.000,White,MCTS_UCB1 (No-DB),0,"Elimination / Block",183,886.60,884.16,160.266,3,0
26,CheckerBoard,MCTS_UCB1 (No-DB),1.000,Black,MCTS_UCB1 (No-DB),0,"Elimination / Block",50,650.49,666.91,31.620,0,6
27,MCTS_UCB1 (No-DB),CheckerBoard,1.000,Draw,Draw,1,"Max Plies Limit (250)",250,948.59,956.64,236.266,4,3
28,CheckerBoard,MCTS_UCB1 (No-DB),1.000,Draw,Draw,1,"Max Plies Limit (250)",250,915.70,911.66,226.608,2,2
29,MCTS_UCB1 (No-DB),CheckerBoard,1.000,Draw,Draw,1,"3-Fold Repetition",119,863.88,893.32,102.791,3,4
30,CheckerBoard,MCTS_UCB1 (No-DB),1.000,Black,MCTS_UCB1 (No-DB),0,"Elimination / Block",54,611.02,692.57,33.896,0,5
31,MCTS_UCB1 (No-DB),CheckerBoard,1.000,White,MCTS_UCB1 (No-DB),0,"Elimination / Block",85,777.00,779.02,64.581,5,1
32,CheckerBoard,MCTS_UCB1 (No-DB),1.000,Draw,Draw,1,"3-Fold Repetition",170,902.25,926.27,153.606,4,3
33,MCTS_PUCT (No-DB),CheckerBoard,1.000,Draw,Draw,1,"Max Plies Limit (250)",250,789.02,915.56,211.383,1,1
34,CheckerBoard,MCTS_PUCT (No-DB),1.000,Draw,Draw,1,"3-Fold Repetition",112,869.21,793.45,91.452,4,3
35,MCTS_PUCT (No-DB),CheckerBoard,1.000,Draw,Draw,1,"3-Fold Repetition",241,837.73,920.84,210.124,1,1
36,CheckerBoard,MCTS_PUCT (No-DB),1.000,Black,MCTS_PUCT (No-DB),0,"Elimination / Block",100,817.15,678.40,73.288,0,3
37,MCTS_PUCT (No-DB),CheckerBoard,1.000,White,MCTS_PUCT (No-DB),0,"Elimination / Block",101,741.76,838.14,78.163,2,0
38,CheckerBoard,MCTS_PUCT (No-DB),1.000,Black,MCTS_PUCT (No-DB),0,"Elimination / Block",84,804.67,694.10,61.458,0,3
39,MCTS_PUCT (No-DB),CheckerBoard,1.000,White,MCTS_PUCT (No-DB),0,"Elimination / Block",201,833.43,898.17,172.274,2,0
40,CheckerBoard,MCTS_PUCT (No-DB),1.000,Black,MCTS_PUCT (No-DB),0,"Elimination / Block",56,769.01,555.74,35.771,0,5
41,MCTS_PUCT (No-DB),CheckerBoard,1.000,White,MCTS_PUCT (No-DB),0,"Elimination / Block",49,542.75,639.56,27.748,6,0
42,CheckerBoard,MCTS_PUCT (No-DB),1.000,Black,MCTS_PUCT (No-DB),0,"Elimination / Block",52,678.84,641.02,33.004,0,7
43,MCTS_PUCT (No-DB),CheckerBoard,1.000,Draw,Draw,1,"3-Fold Repetition",133,755.01,873.14,106.592,3,2
44,CheckerBoard,MCTS_PUCT (No-DB),1.000,Black,MCTS_PUCT (No-DB),0,"Elimination / Block",48,682.92,713.83,32.128,0,7
45,MCTS_PUCT (No-DB),CheckerBoard,1.000,White,MCTS_PUCT (No-DB),0,"Elimination / Block",59,679.08,711.77,39.626,4,0
46,CheckerBoard,MCTS_PUCT (No-DB),1.000,Draw,Draw,1,"3-Fold Repetition",100,853.77,777.91,79.960,4,3
47,MCTS_PUCT (No-DB),CheckerBoard,1.000,Draw,Draw,1,"Max Plies Limit (250)",250,768.49,931.82,210.852,2,2
48,CheckerBoard,MCTS_PUCT (No-DB),1.000,Black,MCTS_PUCT (No-DB),0,"Elimination / Block",114,892.36,772.39,93.234,1,3
