game_id,white_engine,black_engine,time_budget,winner_color,winner_engine,is_draw,reason,plies,white_avg_ms,black_avg_ms,duration_sec,white_pieces,black_pieces
1,CheckerBoard,MCTS_PUCT (DB),1.000,Black,MCTS_PUCT (DB),0,"Elimination / Block",110,847.15,820.34,90.052,0,3
2,MCTS_PUCT (DB),CheckerBoard,1.000,White,MCTS_PUCT (DB),0,"Elimination / Block",107,845.68,797.93,86.320,3,0
3,CheckerBoard,MCTS_PUCT (DB),1.000,Black,MCTS_PUCT (DB),0,"Elimination / Block",130,844.09,897.39,111.473,0,4
4,MCTS_PUCT (DB),CheckerBoard,1.000,Black,CheckerBoard,0,"Elimination / Block",108,876.92,779.05,87.773,0,4
5,CheckerBoard,MCTS_PUCT (DB),1.000,Black,MCTS_PUCT (DB),0,"Elimination / Block",110,840.18,880.53,92.926,0,5
6,MCTS_PUCT (DB),CheckerBoard,1.000,Draw,Draw,1,"3-Fold Repetition",119,923.90,874.34,105.230,3,4
7,CheckerBoard,MCTS_PUCT (DB),1.000,Draw,Draw,1,"Max Plies Limit (250)",250,913.35,958.96,232.185,2,2
8,MCTS_PUCT (DB),CheckerBoard,1.000,Black,CheckerBoard,0,"Elimination / Block",128,899.36,764.71,104.847,0,4
9,CheckerBoard,MCTS_PUCT (DB),1.000,Black,MCTS_PUCT (DB),0,"Elimination / Block",98,800.65,828.41,78.201,0,3
10,MCTS_PUCT (DB),CheckerBoard,1.000,Black,CheckerBoard,0,"Elimination / Block",84,815.48,633.74,59.422,1,3
11,CheckerBoard,MCTS_PUCT (DB),1.000,Draw,Draw,1,"3-Fold Repetition",89,926.32,841.37,76.942,3,3
12,MCTS_PUCT (DB),CheckerBoard,1.000,Draw,Draw,1,"3-Fold Repetition",107,913.37,860.22,93.146,2,5
13,CheckerBoard,MCTS_PUCT (DB),1.000,Black,MCTS_PUCT (DB),0,"Elimination / Block",58,603.76,616.33,34.165,0,4
14,MCTS_PUCT (DB),CheckerBoard,1.000,White,MCTS_PUCT (DB),0,"Elimination / Block",61,743.83,571.89,38.903,4,0
15,CheckerBoard,MCTS_PUCT (DB),1.000,Black,MCTS_PUCT (DB),0,"Elimination / Block",50,710.02,659.51,32.871,0,7
16,MCTS_PUCT (DB),CheckerBoard,1.000,White,MCTS_PUCT (DB),0,"Elimination / Block",49,627.05,646.58,29.923,6,0
17,CheckerBoard,MCTS_PUCT (DB),1.000,Black,MCTS_PUCT (DB),0,"Elimination / Block",52,599.80,566.76,29.168,0,2
18,MCTS_PUCT (DB),CheckerBoard,1.000,Draw,Draw,1,"3-Fold Repetition",135,909.02,918.59,121.538,4,5
19,CheckerBoard,MCTS_PUCT (DB),1.000,Draw,Draw,1,"Max Plies Limit (250)",250,922.96,938.30,230.811,2,3
20,MCTS_PUCT (DB),CheckerBoard,1.000,Black,CheckerBoard,0,"Elimination / Block",110,813.96,746.30,84.260,0,3
21,CheckerBoard,MCTS_PUCT (DB),1.000,White,CheckerBoard,0,"Elimination / Block",99,711.18,856.38,75.960,2,0
22,MCTS_PUCT (DB),CheckerBoard,1.000,Draw,Draw,1,"Max Plies Limit (250)",250,951.51,955.30,236.459,2,2
23,CheckerBoard,MCTS_PUCT (DB),1.000,White,CheckerBoard,0,"Elimination / Block",121,738.51,884.69,96.513,3,0
24,MCTS_PUCT (DB),CheckerBoard,1.000,Draw,Draw,1,"3-Fold Repetition",87,815.64,805.78,68.920,3,4
25,CheckerBoard,MCTS_PUCT (DB),1.000,Black,MCTS_PUCT (DB),0,"Elimination / Block",58,639.84,685.43,37.110,0,4
26,MCTS_PUCT (DB),CheckerBoard,1.000,Draw,Draw,1,"3-Fold Repetition",85,837.36,776.56,67.019,2,5
27,CheckerBoard,MCTS_PUCT (DB),1.000,Black,MCTS_PUCT (DB),0,"Elimination / Block",54,728.42,602.21,34.601,0,5
28,MCTS_PUCT (DB),CheckerBoard,1.000,White,MCTS_PUCT (DB),0,"Elimination / Block",73,725.41,706.71,50.853,4,0
29,CheckerBoard,MCTS_PUCT (DB),1.000,White,CheckerBoard,0,"Elimination / Block",103,742.91,861.92,80.992,4,0
30,MCTS_PUCT (DB),CheckerBoard,1.000,Draw,Draw,1,"Max Plies Limit (250)",250,946.99,946.47,234.804,4,3
31,CheckerBoard,MCTS_PUCT (DB),1.000,Black,MCTS_PUCT (DB),0,"Elimination / Block",88,834.86,811.42,70.795,1,3
32,MCTS_PUCT (DB),CheckerBoard,1.000,Draw,Draw,1,"3-Fold Repetition",181,911.29,894.49,161.637,2,4
33,CheckerBoard,MCTS_UCB1 (DB),1.000,Draw,Draw,1,"Max Plies Limit (250)",250,949.46,945.10,234.939,2,3
34,MCTS_UCB1 (DB),CheckerBoard,1.000,Draw,Draw,1,"Max Plies Limit (250)",250,928.67,949.10,232.857,3,2
35,CheckerBoard,MCTS_UCB1 (DB),1.000,White,CheckerBoard,0,"Elimination / Block",143,828.67,844.04,117.926,2,0
36,MCTS_UCB1 (DB),CheckerBoard,1.000,Draw,Draw,1,"3-Fold Repetition",99,857.65,873.81,83.973,3,4
37,CheckerBoard,MCTS_UCB1 (DB),1.000,Draw,Draw,1,"3-Fold Repetition",248,924.88,919.86,226.922,1,1
38,MCTS_UCB1 (DB),CheckerBoard,1.000,Draw,Draw,1,"3-Fold Repetition",107,868.89,842.89,89.890,2,2
39,CheckerBoard,MCTS_UCB1 (DB),1.000,Black,MCTS_UCB1 (DB),0,"Elimination / Block",72,856.14,715.12,54.997,0,4
40,MCTS_UCB1 (DB),CheckerBoard,1.000,White,MCTS_UCB1 (DB),0,"Elimination / Block",149,865.96,879.51,128.301,3,0
41,CheckerBoard,MCTS_UCB1 (DB),1.000,Draw,Draw,1,"3-Fold Repetition",208,910.18,903.21,186.792,1,1
42,MCTS_UCB1 (DB),CheckerBoard,1.000,Draw,Draw,1,"Max Plies Limit (250)",250,930.26,940.63,232.013,3,3
43,CheckerBoard,MCTS_UCB1 (DB),1.000,Black,MCTS_UCB1 (DB),0,"Elimination / Block",110,709.79,797.54,81.402,0,2
44,MCTS_UCB1 (DB),CheckerBoard,1.000,Draw,Draw,1,"3-Fold Repetition",105,867.55,858.58,88.906,3,4
45,CheckerBoard,MCTS_UCB1 (DB),1.000,Draw,Draw,1,"3-Fold Repetition",214,912.47,897.20,191.842,1,1
46,MCTS_UCB1 (DB),CheckerBoard,1.000,White,MCTS_UCB1 (DB),0,"Elimination / Block",43,714.86,648.70,27.989,7,0
47,CheckerBoard,MCTS_UCB1 (DB),1.000,Black,MCTS_UCB1 (DB),0,"Elimination / Block",96,792.49,809.30,75.292,0,3
48,MCTS_UCB1 (DB),CheckerBoard,1.000,Draw,Draw,1,"3-Fold Repetition",85,834.33,851.52,69.961,2,2
49,CheckerBoard,MCTS_UCB1 (DB),1.000,Black,MCTS_UCB1 (DB),0,"Elimination / Block",52,759.21,640.28,34.990,0,7
50,MCTS_UCB1 (DB),CheckerBoard,1.000,Draw,Draw,1,"Max Plies Limit (250)",250,978.95,948.20,238.982,3,3
51,CheckerBoard,MCTS_UCB1 (DB),1.000,Black,MCTS_UCB1 (DB),0,"Elimination / Block",58,792.77,643.49,40.219,0,5
