generation,rank,id,target_engine,score_pct,points,games_played,wins,draws,losses,elo,c_puct,puct_temperature,rollout_epsilon,time_budget,max_rollout_depth,use_guided_book,lambda_book,book_mode,book_temperature,use_db
1,1,9,"MCTS_PUCT",76.67,23.0,30,19,8,3,1706.7,2.7579,2.2287,0.3699,0.2000,25,1,0.4969,"OFF",0.0000,1
1,2,10,"MCTS_PUCT",68.33,20.5,30,17,7,6,1633.6,2.8144,1.1142,0.3920,0.2000,29,1,0.7009,"OFF",0.0000,1
1,3,15,"MCTS_PUCT",66.67,20.0,30,17,6,7,1620.4,1.5901,0.6847,0.2659,0.2000,34,1,0.2505,"OFF",0.0000,1
1,4,4,"MCTS_PUCT",63.33,19.0,30,15,8,7,1594.9,2.1384,1.4149,0.3834,0.2000,127,0,0.0000,"BEST",0.0000,1
1,5,6,"MCTS_PUCT",58.33,17.5,30,12,11,7,1558.5,2.0807,1.2342,0.3345,0.2000,144,1,0.8310,"OFF",0.0000,1
1,6,2,"MCTS_PUCT",56.67,17.0,30,13,8,9,1546.6,1.3142,2.0319,0.3695,0.2000,134,1,0.2875,"OFF",0.0000,1
1,7,3,"MCTS_PUCT",53.33,16.0,30,12,8,10,1523.2,1.5866,2.4466,0.4341,0.2000,72,1,0.1268,"OFF",0.0000,1
1,8,7,"MCTS_PUCT",53.33,16.0,30,11,10,9,1523.2,1.4171,2.2155,0.3189,0.2000,106,0,0.0000,"GOOD",2.3154,1
1,9,1,"MCTS_PUCT",48.33,14.5,30,10,9,11,1488.4,2.5939,2.0704,0.0598,0.2000,98,0,0.0000,"BEST",0.0000,1
1,10,0,"MCTS_PUCT",48.33,14.5,30,9,11,10,1488.4,3.1821,1.3406,0.2553,0.2000,70,1,0.7500,"OFF",0.0000,1
1,11,5,"MCTS_PUCT",43.33,13.0,30,9,8,13,1453.4,2.0731,0.7135,0.1507,0.2000,126,1,0.5451,"OFF",0.0000,1
1,12,12,"MCTS_PUCT",41.67,12.5,30,10,5,15,1441.5,3.2237,2.3937,0.0219,0.2000,123,0,0.0000,"ALL",2.1041,1
1,13,13,"MCTS_PUCT",36.67,11.0,30,7,8,15,1405.1,3.9959,2.1670,0.0238,0.2000,124,0,0.0000,"GOOD",0.8255,1
1,14,8,"MCTS_PUCT",33.33,10.0,30,5,10,15,1379.6,1.0770,1.1686,0.3143,0.2000,115,1,0.4117,"OFF",0.0000,1
1,15,14,"MCTS_PUCT",31.67,9.5,30,5,9,16,1366.4,2.0779,0.3213,0.2679,0.2000,69,1,0.6979,"OFF",0.0000,1
1,16,11,"MCTS_PUCT",20.00,6.0,30,3,6,21,1259.2,1.4145,1.2821,0.0475,0.2000,110,1,0.9095,"OFF",0.0000,1
2,1,12,"MCTS_PUCT",81.67,24.5,30,22,5,3,1759.5,2.5857,2.2048,0.3416,0.2000,112,1,0.0791,"OFF",0.0000,0
2,2,6,"MCTS_PUCT",66.67,20.0,30,17,6,7,1620.4,2.9498,2.4138,0.3699,0.2000,25,1,0.4969,"OFF",0.0000,1
2,3,0,"MCTS_PUCT",61.67,18.5,30,14,9,7,1582.6,2.7579,2.2287,0.3699,0.2000,25,1,0.4969,"OFF",0.0000,1
2,4,13,"MCTS_PUCT",61.67,18.5,30,12,13,5,1582.6,1.6459,0.8713,0.3693,0.2000,23,0,0.0000,"OFF",0.0000,1
