generation,rank,id,target_engine,score_pct,points,games_played,wins,draws,losses,elo,exploration_alpha,rollout_epsilon,time_budget,max_rollout_depth,book_mode,book_temperature,use_db
1,1,1,"MCTS_UCB1",88.33,26.5,30,24,5,1,1851.7,0.2846,0.3801,0.2000,58,"OFF",0.0000,1
1,2,9,"MCTS_UCB1",81.67,24.5,30,22,5,3,1759.5,1.4533,0.3876,0.2000,86,"ALL",0.1374,0
1,3,6,"MCTS_UCB1",76.67,23.0,30,20,6,4,1706.7,0.3896,0.1361,0.2000,27,"GOOD",0.9772,1
1,4,12,"MCTS_UCB1",61.67,18.5,30,16,5,9,1582.6,0.7923,0.1810,0.2000,35,"GOOD",1.1712,1
1,5,13,"MCTS_UCB1",61.67,18.5,30,14,9,7,1582.6,0.5871,0.2883,0.2000,56,"GOOD",0.8541,1
1,6,4,"MCTS_UCB1",56.67,17.0,30,13,8,9,1546.6,0.9318,0.2556,0.2000,42,"BEST",0.0000,1
1,7,0,"MCTS_UCB1",50.00,15.0,30,9,12,9,1500.0,0.9129,0.1701,0.2000,42,"GOOD",2.2806,1
1,8,14,"MCTS_UCB1",48.33,14.5,30,10,9,11,1488.4,0.9626,0.0472,0.2000,50,"OFF",0.0000,1
1,9,15,"MCTS_UCB1",46.67,14.0,30,10,8,12,1476.8,2.8723,0.3077,0.2000,50,"OFF",0.0000,0
1,10,10,"MCTS_UCB1",43.33,13.0,30,8,10,12,1453.4,2.8842,0.4405,0.2000,33,"ALL",1.7452,1
1,11,5,"MCTS_UCB1",38.33,11.5,30,7,9,14,1417.4,2.9547,0.4150,0.2000,56,"BEST",0.0000,1
1,12,3,"MCTS_UCB1",36.67,11.0,30,8,6,16,1405.1,1.2837,0.0789,0.2000,66,"ALL",1.9036,1
1,13,11,"MCTS_UCB1",35.00,10.5,30,8,5,17,1392.5,2.2185,0.0621,0.2000,106,"ALL",1.0663,1
1,14,2,"MCTS_UCB1",33.33,10.0,30,6,8,16,1379.6,1.2443,0.2646,0.2000,125,"ALL",1.5909,1
1,15,8,"MCTS_UCB1",26.67,8.0,30,4,8,18,1324.3,2.7543,0.3912,0.2000,137,"BEST",0.0000,1
1,16,7,"MCTS_UCB1",15.00,4.5,30,2,5,23,1198.7,2.7242,0.1383,0.2000,49,"BEST",0.0000,1
2,1,0,"MCTS_UCB1",80.00,24.0,30,19,10,1,1740.8,0.2846,0.3801,0.2000,58,"OFF",0.0000,1
2,2,4,"MCTS_UCB1",75.00,22.5,30,17,11,2,1690.8,2.0114,0.2705,0.2000,29,"GOOD",0.8567,0
2,3,12,"MCTS_UCB1",73.33,22.0,30,16,12,2,1675.7,0.9464,0.3057,0.2000,57,"GOOD",0.8086,0
2,4,2,"MCTS_UCB1",66.67,20.0,30,15,10,5,1620.4,0.9439,0.1604,0.2000,31,"BEST",0.0000,1
2,5,1,"MCTS_UCB1",60.00,18.0,30,12,12,6,1570.4,1.4533,0.3876,0.2000,86,"ALL",0.1374,0
2,6,10,"MCTS_UCB1",58.33,17.5,30,14,7,9,1558.5,0.9505,0.1678,0.2000,55,"ALL",2.0434,1
2,7,14,"MCTS_UCB1",55.00,16.5,30,11,11,8,1534.9,0.9252,0.1123,0.2000,100,"ALL",1.1266,1
2,8,3,"MCTS_UCB1",51.67,15.5,30,10,11,9,1511.6,0.9504,0.1878,0.2000,51,"GOOD",0.0500,1
2,9,7,"MCTS_UCB1",45.00,13.5,30,8,11,11,1465.1,2.8723,0.3077,0.2000,48,"BEST",0.0000,0
2,10,9,"MCTS_UCB1",38.33,11.5,30,6,11,13,1417.4,1.2620,0.1701,0.2000,42,"GOOD",2.2806,1
2,11,15,"MCTS_UCB1",36.67,11.0,30,7,8,15,1405.1,2.2616,0.1308,0.2000,41,"ALL",1.4043,1
2,12,8,"MCTS_UCB1",36.67,11.0,30,7,8,15,1405.1,0.1000,0.1361,0.2000,27,"GOOD",0.9772,1
2,13,6,"MCTS_UCB1",36.67,11.0,30,5,12,13,1405.1,2.8723,0.3077,0.2000,50,"OFF",0.0000,0
2,14,11,"MCTS_UCB1",35.00,10.5,30,8,5,17,1392.5,1.2462,0.0812,0.2000,47,"GOOD",2.1407,1
2,15,5,"MCTS_UCB1",31.67,9.5,30,5,9,16,1366.4,1.6531,0.2230,0.2000,51,"OFF",0.0000,1
2,16,13,"MCTS_UCB1",20.00,6.0,30,1,10,19,1259.2,2.8006,0.2903,0.2000,43,"GOOD",0.6554,1
3,1,0,"MCTS_UCB1",83.33,25.0,30,21,8,1,1779.6,0.2846,0.3801,0.2000,58,"OFF",0.0000,1
3,2,15,"MCTS_UCB1",71.67,21.5,30,16,11,3,1661.2,0.9504,0.1878,0.2000,51,"GOOD",0.0500,0
3,3,13,"MCTS_UCB1",63.33,19.0,30,15,8,7,1594.9,0.8411,0.1629,0.2000,36,"BEST",0.0000,1
3,4,4,"MCTS_UCB1",53.33,16.0,30,13,6,11,1523.2,1.1999,0.3056,0.2000,90,"ALL",0.5654,1
3,5,10,"MCTS_UCB1",53.33,16.0,30,11,10,9,1523.2,0.9752,0.1190,0.2000,63,"ALL",2.0180,1
3,6,1,"MCTS_UCB1",53.33,16.0,30,11,10,9,1523.2,2.0114,0.2705,0.2000,29,"GOOD",0.8567,0
3,7,6,"MCTS_UCB1",51.67,15.5,30,10,11,9,1511.6,1.0264,0.2340,0.2000,51,"OFF",0.0000,1
3,8,14,"MCTS_UCB1",50.00,15.0,30,12,6,12,1500.0,0.9504,0.1878,0.2000,51,"GOOD",0.0500,1
3,9,7,"MCTS_UCB1",46.67,14.0,30,10,8,12,1476.8,1.5391,0.2010,0.2000,51,"OFF",0.0000,1
3,10,2,"MCTS_UCB1",46.67,14.0,30,10,8,12,1476.8,1.2843,0.1680,0.2000,40,"ALL",1.0343,1
3,11,3,"MCTS_UCB1",46.67,14.0,30,9,10,11,1476.8,0.9446,0.1602,0.2000,35,"ALL",0.9769,1
3,12,9,"MCTS_UCB1",41.67,12.5,30,6,13,11,1441.5,0.1000,0.1549,0.2000,26,"OFF",0.0000,0
3,13,5,"MCTS_UCB1",38.33,11.5,30,6,11,13,1417.4,2.6176,0.1144,0.2000,60,"OFF",0.0000,0
3,14,11,"MCTS_UCB1",36.67,11.0,30,6,10,14,1405.1,1.2120,0.1634,0.2000,79,"ALL",1.3892,1
3,15,8,"MCTS_UCB1",35.00,10.5,30,4,13,13,1392.5,2.9382,0.2890,0.2000,53,"OFF",0.0000,0
3,16,12,"MCTS_UCB1",28.33,8.5,30,5,7,18,1338.8,2.3645,0.1564,0.2000,36,"ALL",0.3851,1
4,1,13,"MCTS_UCB1",91.67,27.5,30,25,5,0,1916.6,0.6422,0.3128,0.2000,51,"GOOD",0.0500,0
4,2,0,"MCTS_UCB1",78.33,23.5,30,18,11,1,1723.3,0.2846,0.3801,0.2000,58,"OFF",0.0000,1
4,3,7,"MCTS_UCB1",71.67,21.5,30,18,7,5,1661.2,0.2846,0.3801,0.2000,58,"OFF",0.0000,1
4,4,6,"MCTS_UCB1",66.67,20.0,30,15,10,5,1620.4,0.1338,0.3801,0.2000,58,"OFF",0.0000,1
4,5,1,"MCTS_UCB1",63.33,19.0,30,13,12,5,1594.9,0.9504,0.1878,0.2000,51,"GOOD",0.0500,0
4,6,5,"MCTS_UCB1",53.33,16.0,30,13,6,11,1523.2,0.8927,0.1911,0.2000,51,"GOOD",0.0500,1
4,7,2,"MCTS_UCB1",50.00,15.0,30,11,8,11,1500.0,1.5281,0.1370,0.2000,62,"ALL",0.6248,0
4,8,12,"MCTS_UCB1",45.00,13.5,30,8,11,11,1465.1,0.5928,0.1966,0.2000,58,"GOOD",0.0505,1
